"LearningEventID","EmployeeID","CourseID","CompletionDate","LearningHours","CompletionStatus","CourseName","CourseCategory"
"L107115_4",107115,7,2023-02-22,6.4,"Completed","Project Management Basics","Business"
"L107115_5",107115,4,2023-12-11,10.5,"Completed","Inclusive Leadership","Leadership"
"L107759_1",107759,10,2017-04-04,4.6,"Completed","HR Compliance","Compliance"
"L107759_2",107759,8,2018-01-15,4.1,"Completed","Customer Experience","Business"
"L107759_3",107759,12,2023-07-23,10,"Completed","Data Literacy","Technical"
"L108809_1",108809,8,2018-09-25,8.3,"Completed","Customer Experience","Business"
"L108809_2",108809,5,2019-05-10,11,"Completed","Advanced Excel","Technical"
"L108809_3",108809,4,2024-01-27,5.1,"Completed","Inclusive Leadership","Leadership"
"L108809_4",108809,2,2024-07-19,8.9,"Completed","Security Awareness","Compliance"
"L105824_1",105824,5,2020-05-29,7.1,"Completed","Advanced Excel","Technical"
"L105824_2",105824,11,2022-01-21,5.3,"Completed","Finance for Managers","Business"
"L105824_3",105824,8,2022-12-18,7.8,"Completed","Customer Experience","Business"
"L105824_4",105824,10,2023-09-16,1,"Completed","HR Compliance","Compliance"
"L109950_1",109950,2,2020-07-23,0.8,"Completed","Security Awareness","Compliance"
"L109950_2",109950,10,2021-03-28,11.4,"Completed","HR Compliance","Compliance"
"L109950_3",109950,1,2023-12-25,8.2,"Completed","Code of Conduct","Compliance"
"L109950_4",109950,5,2025-10-13,2,"Completed","Advanced Excel","Technical"
"L105405_1",105405,1,2024-05-10,6.8,"Completed","Code of Conduct","Compliance"
"L107473_1",107473,4,2021-06-03,8.2,"Completed","Inclusive Leadership","Leadership"
"L107473_2",107473,7,2022-01-03,1.4,"Completed","Project Management Basics","Business"
"L100546_1",100546,8,2022-02-03,11.2,"Completed","Customer Experience","Business"
"L103099_1",103099,5,2019-11-14,9.7,"Completed","Advanced Excel","Technical"
"L103099_2",103099,12,2020-07-17,8.8,"Completed","Data Literacy","Technical"
"L103099_3",103099,10,2021-03-22,9.8,"Completed","HR Compliance","Compliance"
"L103099_4",103099,9,2023-07-12,7.4,"Completed","Sales Negotiation","Business"
"L109850_1",109850,11,2023-06-04,4.4,"Completed","Finance for Managers","Business"
"L106707_1",106707,2,2021-07-02,9.6,"Completed","Security Awareness","Compliance"
"L106707_2",106707,5,2026-01-21,11.4,"Completed","Advanced Excel","Technical"
"L106707_3",106707,8,2026-02-06,8,"Completed","Customer Experience","Business"
"L105122_1",105122,4,2020-01-03,9.7,"Completed","Inclusive Leadership","Leadership"
"L105122_2",105122,3,2021-03-01,1.8,"Completed","Manager Essentials","Leadership"
"L105122_3",105122,2,2021-03-02,7.5,"Completed","Security Awareness","Compliance"
"L105122_4",105122,6,2022-11-22,7.9,"Completed","Power BI Foundations","Technical"
"L105122_5",105122,11,2023-07-21,8.2,"Completed","Finance for Managers","Business"
"L105581_1",105581,1,2020-10-06,4.9,"Completed","Code of Conduct","Compliance"
"L105581_2",105581,12,2022-05-17,6.7,"Completed","Data Literacy","Technical"
"L105581_3",105581,9,2024-04-15,3.6,"Completed","Sales Negotiation","Business"
"L103096_1",103096,11,2021-07-07,1.4,"Completed","Finance for Managers","Business"
"L103096_2",103096,8,2021-08-12,1.4,"Completed","Customer Experience","Business"
"L103096_3",103096,12,2022-03-21,2.5,"Completed","Data Literacy","Technical"
"L103096_4",103096,9,2022-07-09,7.3,"Completed","Sales Negotiation","Business"
"L103096_5",103096,3,2025-12-03,1.8,"Completed","Manager Essentials","Leadership"
"L107711_1",107711,12,2022-04-25,6.2,"Completed","Data Literacy","Technical"
"L107711_2",107711,4,2022-12-09,7.2,"Completed","Inclusive Leadership","Leadership"
"L107711_3",107711,2,2022-12-24,2.3,"Completed","Security Awareness","Compliance"
"L107711_4",107711,7,2024-09-20,10.7,"Completed","Project Management Basics","Business"
"L107711_5",107711,8,2025-08-26,3.7,"Completed","Customer Experience","Business"
"L107711_6",107711,5,2025-10-27,5.5,"Completed","Advanced Excel","Technical"
"L102463_1",102463,7,2022-08-29,1.8,"Completed","Project Management Basics","Business"
"L102463_2",102463,9,2024-08-25,9.3,"Completed","Sales Negotiation","Business"
"L102463_3",102463,6,2025-06-27,1.4,"Completed","Power BI Foundations","Technical"
"L106843_1",106843,5,2023-03-05,7.1,"Completed","Advanced Excel","Technical"
"L106843_2",106843,1,2023-04-09,8.4,"Completed","Code of Conduct","Compliance"
"L106843_3",106843,11,2024-08-18,11.9,"Completed","Finance for Managers","Business"
"L106843_4",106843,7,2025-09-13,5.4,"Completed","Project Management Basics","Business"
"L105036_1",105036,5,2023-09-16,2.7,"Completed","Advanced Excel","Technical"
"L105036_2",105036,2,2024-11-09,11.5,"Completed","Security Awareness","Compliance"
"L105036_3",105036,1,2025-04-10,6.4,"Completed","Code of Conduct","Compliance"
"L105036_4",105036,4,2025-10-09,10.2,"Completed","Inclusive Leadership","Leadership"
"L105036_5",105036,6,2025-10-25,1.6,"Completed","Power BI Foundations","Technical"
"L108431_1",108431,2,2025-02-02,11.3,"Completed","Security Awareness","Compliance"
"L108431_2",108431,6,2025-03-06,6,"Completed","Power BI Foundations","Technical"
"L108431_3",108431,8,2025-09-12,1.8,"Completed","Customer Experience","Business"
"L108431_4",108431,11,2025-12-27,1.3,"Completed","Finance for Managers","Business"
"L108431_5",108431,4,2026-02-27,2.8,"Completed","Inclusive Leadership","Leadership"
"L102042_1",102042,9,2025-08-23,4.9,"Completed","Sales Negotiation","Business"
"L102042_2",102042,8,2025-08-29,10.3,"Completed","Customer Experience","Business"
"L102042_3",102042,10,2025-10-10,0.6,"Completed","HR Compliance","Compliance"
"L102042_4",102042,1,2026-01-30,2.9,"Completed","Code of Conduct","Compliance"
"L102042_5",102042,7,2026-01-31,2.3,"Completed","Project Management Basics","Business"
"L100025_1",100025,2,2025-12-10,11.8,"Completed","Security Awareness","Compliance"
"L100025_2",100025,10,2025-12-19,10.6,"Completed","HR Compliance","Compliance"
"L100025_3",100025,12,2026-02-12,10.2,"Completed","Data Literacy","Technical"
"L100526_1",100526,2,2014-03-11,3.6,"Completed","Security Awareness","Compliance"
"L100526_2",100526,5,2025-04-02,10.2,"Completed","Advanced Excel","Technical"
"L109577_1",109577,10,2020-08-17,2.3,"Completed","HR Compliance","Compliance"
"L109343_1",109343,4,2017-09-14,7.1,"Completed","Inclusive Leadership","Leadership"
"L109343_2",109343,10,2021-03-15,9.9,"Completed","HR Compliance","Compliance"
"L109343_3",109343,7,2021-03-22,2.5,"Completed","Project Management Basics","Business"
"L109343_4",109343,9,2022-10-05,5.3,"Completed","Sales Negotiation","Business"
"L104073_1",104073,3,2022-08-15,7.3,"Completed","Manager Essentials","Leadership"
"L108305_1",108305,8,2017-03-25,11.4,"Completed","Customer Experience","Business"
"L108305_2",108305,2,2019-06-23,3.7,"Completed","Security Awareness","Compliance"
"L108305_3",108305,1,2020-02-02,11.3,"Completed","Code of Conduct","Compliance"
"L108305_4",108305,12,2021-04-14,10.2,"Completed","Data Literacy","Technical"
"L108305_5",108305,10,2021-12-13,9.1,"Completed","HR Compliance","Compliance"
"L108305_6",108305,11,2022-02-06,3.1,"Completed","Finance for Managers","Business"
"L109390_1",109390,6,2016-07-04,6.4,"Completed","Power BI Foundations","Technical"
"L109390_2",109390,9,2018-03-28,6.8,"Completed","Sales Negotiation","Business"
"L109390_3",109390,3,2020-02-09,7.2,"Completed","Manager Essentials","Leadership"
"L109390_4",109390,7,2020-06-03,1.7,"Completed","Project Management Basics","Business"
"L109390_5",109390,1,2023-10-30,8,"Completed","Code of Conduct","Compliance"
"L106556_1",106556,1,2015-10-09,10.7,"Completed","Code of Conduct","Compliance"
"L106556_2",106556,11,2015-11-06,4.7,"Completed","Finance for Managers","Business"
"L106556_3",106556,5,2019-08-06,10.8,"Completed","Advanced Excel","Technical"
"L106556_4",106556,6,2021-09-21,4.9,"Completed","Power BI Foundations","Technical"
"L105839_1",105839,5,2017-09-17,7.8,"Completed","Advanced Excel","Technical"
"L105839_2",105839,10,2018-09-14,3.9,"Completed","HR Compliance","Compliance"
"L105839_3",105839,8,2019-01-24,10.7,"Completed","Customer Experience","Business"
"L105839_4",105839,11,2019-05-19,11.1,"Completed","Finance for Managers","Business"
"L100764_1",100764,3,2017-02-09,7.5,"Completed","Manager Essentials","Leadership"
"L100764_2",100764,7,2020-04-10,4.8,"Completed","Project Management Basics","Business"
"L100764_3",100764,2,2023-03-22,9.5,"Completed","Security Awareness","Compliance"
"L101025_1",101025,12,2023-08-02,1.8,"Completed","Data Literacy","Technical"
"L101025_2",101025,2,2025-01-11,10.5,"Completed","Security Awareness","Compliance"
"L101025_3",101025,6,2025-08-04,11.9,"Completed","Power BI Foundations","Technical"
"L102509_1",102509,4,2019-12-31,8,"Completed","Inclusive Leadership","Leadership"
"L102509_2",102509,6,2020-02-21,4,"Completed","Power BI Foundations","Technical"
"L109009_1",109009,10,2018-12-21,1.3,"Completed","HR Compliance","Compliance"
"L109009_2",109009,5,2025-08-19,9.8,"Completed","Advanced Excel","Technical"
"L100212_1",100212,4,2024-07-30,8.7,"Completed","Inclusive Leadership","Leadership"
"L107980_1",107980,12,2019-09-14,0.8,"Completed","Data Literacy","Technical"
"L103928_1",103928,10,2019-12-28,4.9,"Completed","HR Compliance","Compliance"
"L103928_2",103928,4,2022-04-25,6.3,"Completed","Inclusive Leadership","Leadership"
"L103928_3",103928,1,2025-03-23,11.2,"Completed","Code of Conduct","Compliance"
"L107378_1",107378,1,2019-11-12,5.9,"Completed","Code of Conduct","Compliance"
"L107378_2",107378,10,2022-12-15,3,"Completed","HR Compliance","Compliance"
"L107378_3",107378,11,2025-08-18,11.2,"Completed","Finance for Managers","Business"
"L107378_4",107378,4,2026-02-14,8.2,"Completed","Inclusive Leadership","Leadership"
"L101336_1",101336,10,2021-10-14,4,"Completed","HR Compliance","Compliance"
"L101336_2",101336,12,2021-12-01,7.6,"Completed","Data Literacy","Technical"
"L106260_1",106260,7,2022-08-26,10.4,"Completed","Project Management Basics","Business"
"L106260_2",106260,5,2023-11-10,4,"Completed","Advanced Excel","Technical"
"L102454_1",102454,10,2021-02-16,11.6,"Completed","HR Compliance","Compliance"
"L102454_2",102454,11,2022-03-09,2.7,"Completed","Finance for Managers","Business"
"L102454_3",102454,4,2024-09-05,1.7,"Completed","Inclusive Leadership","Leadership"
"L102454_4",102454,2,2025-07-23,2.2,"Completed","Security Awareness","Compliance"
"L103912_1",103912,2,2024-06-17,10.1,"Completed","Security Awareness","Compliance"
"L104811_1",104811,7,2022-12-14,7,"Completed","Project Management Basics","Business"
"L104811_2",104811,4,2024-06-15,7,"Completed","Inclusive Leadership","Leadership"
"L103113_1",103113,6,2021-10-08,4.1,"Completed","Power BI Foundations","Technical"
"L103113_2",103113,3,2022-01-29,1.5,"Completed","Manager Essentials","Leadership"
"L103113_3",103113,12,2022-12-12,7.3,"Completed","Data Literacy","Technical"
"L103113_4",103113,11,2023-05-04,3.1,"Completed","Finance for Managers","Business"
"L103113_5",103113,2,2023-06-18,8.8,"Completed","Security Awareness","Compliance"
"L103113_6",103113,5,2025-11-06,8.9,"Completed","Advanced Excel","Technical"
"L100186_1",100186,10,2024-03-25,8.6,"Completed","HR Compliance","Compliance"
"L100186_2",100186,12,2024-07-19,8.3,"Completed","Data Literacy","Technical"
"L100186_3",100186,1,2024-11-18,3.9,"Completed","Code of Conduct","Compliance"
"L104738_1",104738,1,2025-01-03,10.1,"Completed","Code of Conduct","Compliance"
"L104738_2",104738,10,2025-07-17,4,"Completed","HR Compliance","Compliance"
"L105087_1",105087,7,2024-05-06,7,"Completed","Project Management Basics","Business"
"L100303_1",100303,7,2021-11-03,4.8,"Completed","Project Management Basics","Business"
"L100303_2",100303,4,2022-12-14,8.2,"Completed","Inclusive Leadership","Leadership"
"L100303_3",100303,6,2023-08-30,4.4,"Completed","Power BI Foundations","Technical"
"L100303_4",100303,2,2023-10-03,1.7,"Completed","Security Awareness","Compliance"
"L108386_1",108386,7,2023-05-15,10.1,"Completed","Project Management Basics","Business"
"L108386_2",108386,2,2024-02-19,6.2,"Completed","Security Awareness","Compliance"
"L108386_3",108386,1,2024-05-19,6,"Completed","Code of Conduct","Compliance"
"L108386_4",108386,4,2024-10-25,1.5,"Completed","Inclusive Leadership","Leadership"
"L108386_5",108386,11,2025-10-17,3.6,"Completed","Finance for Managers","Business"
"L107865_1",107865,3,2022-07-03,11.9,"Completed","Manager Essentials","Leadership"
"L107865_2",107865,11,2022-12-05,8.5,"Completed","Finance for Managers","Business"
"L107865_3",107865,8,2022-12-19,9.3,"Completed","Customer Experience","Business"
"L104583_1",104583,2,2022-11-02,2.7,"Completed","Security Awareness","Compliance"
"L104583_2",104583,3,2023-12-04,9.9,"Completed","Manager Essentials","Leadership"
"L104583_3",104583,12,2024-07-09,9.8,"Completed","Data Literacy","Technical"
"L104583_4",104583,8,2025-01-30,3.7,"Completed","Customer Experience","Business"
"L104583_5",104583,10,2025-09-02,4.7,"Completed","HR Compliance","Compliance"
"L104583_6",104583,5,2025-12-29,9.7,"Completed","Advanced Excel","Technical"
"L100675_1",100675,12,2025-12-08,7.3,"Completed","Data Literacy","Technical"
"L100675_2",100675,3,2026-02-19,8.2,"Completed","Manager Essentials","Leadership"
"L105294_1",105294,4,2023-03-28,4.3,"Completed","Inclusive Leadership","Leadership"
"L105294_2",105294,8,2023-11-10,7.3,"Completed","Customer Experience","Business"
"L105294_3",105294,7,2025-01-22,8.8,"Completed","Project Management Basics","Business"
"L105294_4",105294,6,2025-04-01,9.2,"Completed","Power BI Foundations","Technical"
"L104396_1",104396,10,2023-08-25,4.4,"Completed","HR Compliance","Compliance"
"L103006_1",103006,5,2024-03-28,10.2,"Completed","Advanced Excel","Technical"
"L103006_2",103006,3,2024-09-26,5.1,"Completed","Manager Essentials","Leadership"
"L103006_3",103006,12,2025-08-16,4.8,"Completed","Data Literacy","Technical"
"L103006_4",103006,8,2026-01-07,1,"Completed","Customer Experience","Business"
"L107439_1",107439,2,2025-10-31,8,"Completed","Security Awareness","Compliance"
"L108906_1",108906,3,2024-06-02,11,"Completed","Manager Essentials","Leadership"
"L108906_2",108906,5,2024-12-09,6.2,"Completed","Advanced Excel","Technical"
"L108906_3",108906,9,2024-12-18,0.9,"Completed","Sales Negotiation","Business"
"L108906_4",108906,1,2025-08-02,4.1,"Completed","Code of Conduct","Compliance"
"L108906_5",108906,8,2025-08-06,9.9,"Completed","Customer Experience","Business"
"L108906_6",108906,7,2025-11-22,6.3,"Completed","Project Management Basics","Business"
"L106702_1",106702,9,2024-04-16,1.5,"Completed","Sales Negotiation","Business"
"L106702_2",106702,5,2024-12-12,8.4,"Completed","Advanced Excel","Technical"
"L106702_3",106702,6,2026-01-18,10.3,"Completed","Power BI Foundations","Technical"
"L107148_1",107148,1,2025-05-05,7,"Completed","Code of Conduct","Compliance"
"L107148_2",107148,11,2026-01-08,10.8,"Completed","Finance for Managers","Business"
"L107148_3",107148,6,2026-01-27,10.5,"Completed","Power BI Foundations","Technical"
"L103696_1",103696,5,2024-09-22,9.2,"Completed","Advanced Excel","Technical"
"L103696_2",103696,10,2025-04-27,3.9,"Completed","HR Compliance","Compliance"
"L103696_3",103696,1,2025-09-30,7,"Completed","Code of Conduct","Compliance"
"L103618_1",103618,5,2024-12-17,4.2,"Completed","Advanced Excel","Technical"
"L103618_2",103618,12,2025-04-16,7.9,"Completed","Data Literacy","Technical"
"L103618_3",103618,4,2025-10-09,5.1,"Completed","Inclusive Leadership","Leadership"
"L103618_4",103618,6,2026-01-04,1.5,"Completed","Power BI Foundations","Technical"
"L103849_1",103849,2,2025-08-22,10.4,"Completed","Security Awareness","Compliance"
"L103849_2",103849,10,2025-09-26,9.1,"Completed","HR Compliance","Compliance"
"L103849_3",103849,4,2025-09-29,10,"Completed","Inclusive Leadership","Leadership"
"L103849_4",103849,11,2025-12-11,2.7,"Completed","Finance for Managers","Business"
"L106287_1",106287,5,2026-01-18,5.1,"Completed","Advanced Excel","Technical"
"L106287_2",106287,3,2026-01-24,1.4,"Completed","Manager Essentials","Leadership"
"L106287_3",106287,2,2026-02-22,9.2,"Completed","Security Awareness","Compliance"
"L106287_4",106287,12,2026-02-24,2,"Completed","Data Literacy","Technical"
"L106302_1",106302,9,2014-08-02,2,"Completed","Sales Negotiation","Business"
"L106302_2",106302,11,2023-03-08,9.7,"Completed","Finance for Managers","Business"
"L106302_3",106302,7,2024-01-03,0.6,"Completed","Project Management Basics","Business"
"L106302_4",106302,10,2025-07-20,1,"Completed","HR Compliance","Compliance"
"L106302_5",106302,6,2026-01-06,0.6,"Completed","Power BI Foundations","Technical"
"L107673_1",107673,6,2015-07-01,1.5,"Completed","Power BI Foundations","Technical"
"L107673_2",107673,10,2022-12-09,5.4,"Completed","HR Compliance","Compliance"
"L107673_3",107673,4,2024-07-26,11.5,"Completed","Inclusive Leadership","Leadership"
"L107673_4",107673,12,2025-01-31,9.6,"Completed","Data Literacy","Technical"
"L109811_1",109811,11,2017-04-04,5.4,"Completed","Finance for Managers","Business"
"L109811_2",109811,8,2019-12-10,10.3,"Completed","Customer Experience","Business"
"L109811_3",109811,1,2020-07-11,7.8,"Completed","Code of Conduct","Compliance"
"L109811_4",109811,9,2023-06-30,2.6,"Completed","Sales Negotiation","Business"
"L109811_5",109811,3,2026-01-16,10.4,"Completed","Manager Essentials","Leadership"
"L102052_1",102052,8,2023-01-05,10.7,"Completed","Customer Experience","Business"
"L102052_2",102052,11,2023-11-01,11.2,"Completed","Finance for Managers","Business"
"L102052_3",102052,10,2024-05-19,1.8,"Completed","HR Compliance","Compliance"
"L102052_4",102052,6,2024-08-10,4.6,"Completed","Power BI Foundations","Technical"
"L109885_1",109885,10,2016-03-29,11.4,"Completed","HR Compliance","Compliance"
"L109885_2",109885,5,2019-06-05,4.8,"Completed","Advanced Excel","Technical"
"L109885_3",109885,1,2023-09-07,0.5,"Completed","Code of Conduct","Compliance"
"L109885_4",109885,6,2025-05-10,2.4,"Completed","Power BI Foundations","Technical"
"L108106_1",108106,4,2014-07-04,6.3,"Completed","Inclusive Leadership","Leadership"
"L108106_2",108106,3,2018-08-01,10.2,"Completed","Manager Essentials","Leadership"
"L108106_3",108106,9,2023-02-23,3.2,"Completed","Sales Negotiation","Business"
"L108106_4",108106,7,2024-06-05,10.7,"Completed","Project Management Basics","Business"
"L108106_5",108106,10,2025-11-25,6.6,"Completed","HR Compliance","Compliance"
"L103155_1",103155,9,2020-07-24,3.8,"Completed","Sales Negotiation","Business"
"L103155_2",103155,5,2025-01-24,10,"Completed","Advanced Excel","Technical"
"L108841_1",108841,2,2024-02-01,7.4,"Completed","Security Awareness","Compliance"
"L108841_2",108841,11,2024-02-10,8.1,"Completed","Finance for Managers","Business"
"L108841_3",108841,9,2026-02-02,3.5,"Completed","Sales Negotiation","Business"
"L103920_1",103920,9,2015-04-26,10.6,"Completed","Sales Negotiation","Business"
"L103920_2",103920,7,2015-09-02,6.5,"Completed","Project Management Basics","Business"
"L103920_3",103920,4,2018-08-13,2.7,"Completed","Inclusive Leadership","Leadership"
"L103920_4",103920,5,2021-01-09,7.6,"Completed","Advanced Excel","Technical"
"L103920_5",103920,8,2021-02-04,11.8,"Completed","Customer Experience","Business"
"L109948_1",109948,1,2017-09-18,10.3,"Completed","Code of Conduct","Compliance"
"L109948_2",109948,5,2018-07-10,1.3,"Completed","Advanced Excel","Technical"
"L109948_3",109948,7,2021-04-15,8.6,"Completed","Project Management Basics","Business"
"L109948_4",109948,3,2023-07-13,9.3,"Completed","Manager Essentials","Leadership"
"L109935_1",109935,6,2022-04-07,10.9,"Completed","Power BI Foundations","Technical"
"L106290_1",106290,11,2019-10-28,5.6,"Completed","Finance for Managers","Business"
"L106290_2",106290,6,2020-01-02,9.7,"Completed","Power BI Foundations","Technical"
"L106290_3",106290,3,2020-09-18,7.8,"Completed","Manager Essentials","Leadership"
"L106290_4",106290,7,2022-01-15,7.7,"Completed","Project Management Basics","Business"
"L102497_1",102497,1,2022-11-27,5,"Completed","Code of Conduct","Compliance"
"L108365_1",108365,2,2017-10-26,5.6,"Completed","Security Awareness","Compliance"
"L108365_2",108365,10,2019-08-15,8.9,"Completed","HR Compliance","Compliance"
"L108365_3",108365,6,2021-03-31,5.7,"Completed","Power BI Foundations","Technical"
"L108365_4",108365,7,2021-05-12,10.8,"Completed","Project Management Basics","Business"
"L108365_5",108365,9,2022-02-18,1.4,"Completed","Sales Negotiation","Business"
"L106334_1",106334,4,2019-07-15,8.7,"Completed","Inclusive Leadership","Leadership"
"L106334_2",106334,12,2019-11-19,9.4,"Completed","Data Literacy","Technical"
"L101603_1",101603,9,2018-04-02,1.9,"Completed","Sales Negotiation","Business"
"L100947_1",100947,10,2015-09-07,9.3,"Completed","HR Compliance","Compliance"
"L100947_2",100947,2,2020-08-03,11.3,"Completed","Security Awareness","Compliance"
"L100947_3",100947,9,2021-06-06,9.5,"Completed","Sales Negotiation","Business"
"L108852_1",108852,11,2017-06-28,6.8,"Completed","Finance for Managers","Business"
"L108852_2",108852,6,2019-11-20,3.7,"Completed","Power BI Foundations","Technical"
"L108852_3",108852,2,2024-04-25,10.1,"Completed","Security Awareness","Compliance"
"L103417_1",103417,3,2016-05-09,10,"Completed","Manager Essentials","Leadership"
"L103417_2",103417,11,2020-04-18,0.9,"Completed","Finance for Managers","Business"
"L103417_3",103417,12,2023-07-24,11.4,"Completed","Data Literacy","Technical"
"L103417_4",103417,10,2025-12-11,7.8,"Completed","HR Compliance","Compliance"
"L109939_1",109939,10,2019-02-14,6.2,"Completed","HR Compliance","Compliance"
"L109939_2",109939,7,2024-08-25,0.9,"Completed","Project Management Basics","Business"
"L100762_1",100762,5,2016-03-31,3.8,"Completed","Advanced Excel","Technical"
"L100762_2",100762,3,2020-05-09,7,"Completed","Manager Essentials","Leadership"
"L100762_3",100762,12,2022-04-12,4.1,"Completed","Data Literacy","Technical"
"L100762_4",100762,2,2023-05-17,7.2,"Completed","Security Awareness","Compliance"
"L100762_5",100762,9,2024-06-30,5.8,"Completed","Sales Negotiation","Business"
"L100762_6",100762,7,2025-06-11,9.4,"Completed","Project Management Basics","Business"
"L107984_1",107984,12,2017-05-15,11.3,"Completed","Data Literacy","Technical"
"L107984_2",107984,3,2017-09-22,8.5,"Completed","Manager Essentials","Leadership"
"L107984_3",107984,6,2020-03-18,6,"Completed","Power BI Foundations","Technical"
"L107984_4",107984,5,2023-02-01,2.5,"Completed","Advanced Excel","Technical"
"L106479_1",106479,4,2024-09-22,11,"Completed","Inclusive Leadership","Leadership"
"L100816_1",100816,6,2021-03-04,4.8,"Completed","Power BI Foundations","Technical"
"L100816_2",100816,4,2021-05-30,11.5,"Completed","Inclusive Leadership","Leadership"
"L104596_1",104596,6,2019-11-20,7.2,"Completed","Power BI Foundations","Technical"
"L104838_1",104838,11,2017-02-14,7.2,"Completed","Finance for Managers","Business"
"L104838_2",104838,4,2017-10-03,1.6,"Completed","Inclusive Leadership","Leadership"
"L104838_3",104838,2,2022-02-15,11.2,"Completed","Security Awareness","Compliance"
"L104838_4",104838,9,2025-06-09,5.9,"Completed","Sales Negotiation","Business"
"L104838_5",104838,12,2025-09-14,10.4,"Completed","Data Literacy","Technical"
"L101347_1",101347,10,2020-11-09,2.2,"Completed","HR Compliance","Compliance"
"L101347_2",101347,5,2022-01-29,11.9,"Completed","Advanced Excel","Technical"
"L101347_3",101347,3,2023-02-23,8.6,"Completed","Manager Essentials","Leadership"
"L109710_1",109710,2,2019-12-20,7.2,"Completed","Security Awareness","Compliance"
"L101132_1",101132,5,2017-05-22,3.3,"Completed","Advanced Excel","Technical"
"L101132_2",101132,4,2017-08-16,7.6,"Completed","Inclusive Leadership","Leadership"
"L101132_3",101132,1,2020-12-16,3.6,"Completed","Code of Conduct","Compliance"
"L101132_4",101132,2,2021-12-11,2.7,"Completed","Security Awareness","Compliance"
"L101132_5",101132,9,2022-06-16,11.3,"Completed","Sales Negotiation","Business"
"L101132_6",101132,8,2024-04-26,7,"Completed","Customer Experience","Business"
"L103999_1",103999,5,2020-08-06,8.1,"Completed","Advanced Excel","Technical"
"L103999_2",103999,10,2023-04-19,2.9,"Completed","HR Compliance","Compliance"
"L103999_3",103999,6,2023-08-14,0.7,"Completed","Power BI Foundations","Technical"
"L103999_4",103999,4,2024-08-19,7.4,"Completed","Inclusive Leadership","Leadership"
"L103999_5",103999,2,2024-11-11,8.5,"Completed","Security Awareness","Compliance"
"L103999_6",103999,9,2025-01-22,10.7,"Completed","Sales Negotiation","Business"
"L103388_1",103388,6,2018-06-23,10.6,"Completed","Power BI Foundations","Technical"
"L103388_2",103388,9,2024-09-02,8.7,"Completed","Sales Negotiation","Business"
"L100504_1",100504,9,2024-02-24,9.6,"Completed","Sales Negotiation","Business"
"L100504_2",100504,6,2025-08-08,9.5,"Completed","Power BI Foundations","Technical"
"L103681_1",103681,11,2020-06-22,7.6,"Completed","Finance for Managers","Business"
"L103681_2",103681,1,2021-06-20,2.6,"Completed","Code of Conduct","Compliance"
"L103681_3",103681,7,2022-12-22,3.1,"Completed","Project Management Basics","Business"
"L107091_1",107091,12,2020-08-30,8.9,"Completed","Data Literacy","Technical"
"L101601_1",101601,7,2017-11-29,9.3,"Completed","Project Management Basics","Business"
