"CompensationEventID","EmployeeID","EffectiveDate","BaseSalary","BonusTargetPct","AnnualBonusTarget","PayGrade","CompensationChangeReason"
"C100925_3",100925,2023-01-01,401878,0.2,80376,"L10","Merit"
"C100925_4",100925,2024-01-01,431298,0.2,86260,"L10","Merit"
"C100925_5",100925,2025-01-01,435096,0.2,87019,"L10","Merit"
"C100925_6",100925,2026-01-01,446617,0.2,89323,"L10","Merit"
"C107744_1",107744,2013-01-01,394650,0.2,78930,"L9","Hire"
"C107744_2",107744,2014-01-01,415325,0.2,83065,"L9","Market Adjustment"
"C107744_3",107744,2015-01-01,426334,0.2,85267,"L9","Merit"
"C107744_4",107744,2016-01-01,451183,0.2,90237,"L9","Merit"
"C107744_5",107744,2017-01-01,444565,0.2,88913,"L9","Market Adjustment"
"C107744_6",107744,2018-01-01,472445,0.2,94489,"L9","Merit"
"C107744_7",107744,2019-01-01,507502,0.2,101500,"L9","Merit"
"C107744_8",107744,2020-01-01,476333,0.2,95267,"L9","Market Adjustment"
"C107744_9",107744,2021-01-01,452770,0.2,90554,"L9","Merit"
"C107744_10",107744,2022-01-01,527751,0.2,105550,"L9","Market Adjustment"
"C107744_11",107744,2023-01-01,475750,0.2,95150,"L9","Merit"
"C107744_12",107744,2024-01-01,660564,0.2,132113,"L9","Market Adjustment"
"C107744_13",107744,2025-01-01,596519,0.2,119304,"L9","Merit"
"C107744_14",107744,2026-01-01,615582,0.2,123116,"L9","Merit"
"C100462_1",100462,2014-01-01,338131,0.2,67626,"L9","Hire"
"C100462_2",100462,2015-01-01,346616,0.2,69323,"L9","Merit"
"C100462_3",100462,2016-01-01,364322,0.2,72864,"L9","Merit"
"C100462_4",100462,2017-01-01,376556,0.2,75311,"L9","Merit"
"C100462_5",100462,2018-01-01,368072,0.2,73614,"L9","Merit"
"C100462_6",100462,2019-01-01,364684,0.2,72937,"L9","Market Adjustment"
"C100462_7",100462,2020-01-01,451969,0.2,90394,"L9","Merit"
"C100462_8",100462,2021-01-01,419793,0.2,83959,"L9","Merit"
"C100462_9",100462,2022-01-01,414651,0.2,82930,"L9","Merit"
"C100462_10",100462,2023-01-01,421869,0.2,84374,"L9","Merit"
"C100462_11",100462,2024-01-01,517799,0.2,103560,"L9","Merit"
"C100462_12",100462,2025-01-01,588010,0.2,117602,"L9","Merit"
"C100462_13",100462,2026-01-01,590043,0.2,118009,"L9","Merit"
"C105458_1",105458,2015-01-01,316445,0.2,63289,"L9","Hire"
"C105458_2",105458,2016-01-01,328476,0.2,65695,"L9","Merit"
"C105458_3",105458,2017-01-01,329083,0.2,65817,"L9","Merit"
"C105458_4",105458,2018-01-01,368735,0.2,73747,"L9","Merit"
"C105458_5",105458,2019-01-01,386742,0.2,77348,"L9","Merit"
"C105458_6",105458,2020-01-01,361105,0.2,72221,"L9","Merit"
"C105458_7",105458,2021-01-01,378137,0.2,75627,"L9","Market Adjustment"
"C105458_8",105458,2022-01-01,379229,0.2,75846,"L9","Merit"
"C105458_9",105458,2023-01-01,417681,0.2,83536,"L9","Merit"
"C105458_10",105458,2024-01-01,430698,0.2,86140,"L9","Market Adjustment"
"C105458_11",105458,2025-01-01,485307,0.2,97061,"L9","Merit"
"C105458_12",105458,2026-01-01,520407,0.2,104081,"L9","Merit"
"C101296_1",101296,2015-01-01,418781,0.2,83756,"L9","Hire"
"C101296_2",101296,2016-01-01,428676,0.2,85735,"L9","Merit"
"C101296_3",101296,2017-01-01,460977,0.2,92195,"L9","Merit"
"C101296_4",101296,2018-01-01,454574,0.2,90915,"L9","Merit"
"C101296_5",101296,2019-01-01,491735,0.2,98347,"L9","Merit"
"C101296_6",101296,2020-01-01,486216,0.2,97243,"L9","Market Adjustment"
"C101296_7",101296,2021-01-01,563361,0.2,112672,"L9","Merit"
"C101296_8",101296,2022-01-01,552341,0.2,110468,"L9","Merit"
"C101296_9",101296,2023-01-01,545046,0.2,109009,"L9","Merit"
"C101296_10",101296,2024-01-01,535354,0.2,107071,"L9","Market Adjustment"
"C101296_11",101296,2025-01-01,702814,0.2,140563,"L9","Merit"
"C101296_12",101296,2026-01-01,741449,0.2,148290,"L9","Market Adjustment"
"C100679_1",100679,2015-01-01,462801,0.2,92560,"L9","Hire"
"C100679_2",100679,2016-01-01,472892,0.2,94578,"L9","Merit"
"C100679_3",100679,2017-01-01,482006,0.2,96401,"L9","Merit"
"C100679_4",100679,2018-01-01,496705,0.2,99341,"L9","Merit"
"C100679_5",100679,2019-01-01,506448,0.2,101290,"L9","Market Adjustment"
"C100679_6",100679,2020-01-01,577131,0.2,115426,"L9","Market Adjustment"
"C100679_7",100679,2021-01-01,532969,0.2,106594,"L9","Merit"
"C100679_8",100679,2022-01-01,611500,0.2,122300,"L9","Merit"
"C100679_9",100679,2023-01-01,681947,0.2,136389,"L9","Merit"
"C100679_10",100679,2024-01-01,704778,0.2,140956,"L9","Merit"
"C100679_11",100679,2025-01-01,666794,0.2,133359,"L9","Market Adjustment"
"C100679_12",100679,2026-01-01,652973,0.2,130595,"L9","Merit"
"C101306_1",101306,2015-01-01,394522,0.2,78904,"L9","Hire"
"C101306_2",101306,2016-01-01,413554,0.2,82711,"L9","Merit"
"C101306_3",101306,2017-01-01,409100,0.2,81820,"L9","Merit"
"C101306_4",101306,2018-01-01,415193,0.2,83039,"L9","Merit"
"C101306_5",101306,2019-01-01,442772,0.2,88554,"L9","Market Adjustment"
"C101306_6",101306,2020-01-01,467192,0.2,93438,"L9","Merit"
"C101306_7",101306,2021-01-01,455228,0.2,91046,"L9","Market Adjustment"
"C101306_8",101306,2022-01-01,503983,0.2,100797,"L9","Merit"
"C101306_9",101306,2023-01-01,564739,0.2,112948,"L9","Merit"
"C101306_10",101306,2024-01-01,517126,0.2,103425,"L9","Merit"
"C101306_11",101306,2025-01-01,477219,0.2,95444,"L9","Merit"
"C101306_12",101306,2026-01-01,541699,0.2,108340,"L9","Merit"
"C107115_1",107115,2015-01-01,393513,0.2,78703,"L9","Hire"
"C107115_2",107115,2016-01-01,399813,0.2,79963,"L9","Merit"
"C107115_3",107115,2017-01-01,411817,0.2,82363,"L9","Merit"
"C107115_4",107115,2018-01-01,441043,0.2,88209,"L9","Merit"
"C107115_5",107115,2019-01-01,484091,0.2,96818,"L9","Market Adjustment"
"C107115_6",107115,2020-01-01,439878,0.2,87976,"L9","Merit"
"C107115_7",107115,2021-01-01,453851,0.2,90770,"L9","Merit"
"C107115_8",107115,2022-01-01,569199,0.2,113840,"L9","Merit"
"C107115_9",107115,2023-01-01,601035,0.2,120207,"L9","Market Adjustment"
"C107115_10",107115,2024-01-01,507825,0.2,101565,"L9","Merit"
"C107115_11",107115,2025-01-01,591398,0.2,118280,"L9","Merit"
"C107115_12",107115,2026-01-01,591325,0.2,118265,"L9","Merit"
"C107759_1",107759,2016-01-01,321084,0.2,64217,"L9","Hire"
"C107759_2",107759,2017-01-01,327289,0.2,65458,"L9","Merit"
"C107759_3",107759,2018-01-01,335939,0.2,67188,"L9","Merit"
"C107759_4",107759,2019-01-01,372414,0.2,74483,"L9","Merit"
"C107759_5",107759,2020-01-01,376824,0.2,75365,"L9","Merit"
"C107759_6",107759,2021-01-01,373063,0.2,74613,"L9","Merit"
"C107759_7",107759,2022-01-01,406531,0.2,81306,"L9","Merit"
"C107759_8",107759,2023-01-01,375961,0.2,75192,"L9","Merit"
"C107759_9",107759,2024-01-01,391010,0.2,78202,"L9","Merit"
"C107759_10",107759,2025-01-01,438891,0.2,87778,"L9","Merit"
"C107759_11",107759,2026-01-01,426410,0.2,85282,"L9","Merit"
"C108809_1",108809,2017-01-01,397596,0.2,79519,"L9","Hire"
"C108809_2",108809,2018-01-01,405987,0.2,81197,"L9","Merit"
"C108809_3",108809,2019-01-01,418831,0.2,83766,"L9","Merit"
"C108809_4",108809,2020-01-01,419196,0.2,83839,"L9","Merit"
"C108809_5",108809,2021-01-01,490274,0.2,98055,"L9","Merit"
"C108809_6",108809,2022-01-01,454455,0.2,90891,"L9","Merit"
"C105824_1",105824,2017-01-01,320365,0.2,64073,"L9","Hire"
"C105824_2",105824,2018-01-01,334069,0.2,66814,"L9","Merit"
"C105824_3",105824,2019-01-01,348349,0.2,69670,"L9","Merit"
"C105824_4",105824,2020-01-01,351325,0.2,70265,"L9","Merit"
"C105824_5",105824,2021-01-01,369626,0.2,73925,"L9","Market Adjustment"
"C105824_6",105824,2022-01-01,361230,0.2,72246,"L9","Merit"
"C105824_7",105824,2023-01-01,401989,0.2,80398,"L9","Merit"
"C105824_8",105824,2024-01-01,385201,0.2,77040,"L9","Merit"
"C105824_9",105824,2025-01-01,371303,0.2,74261,"L9","Merit"
"C105824_10",105824,2026-01-01,445019,0.2,89004,"L9","Merit"
"C109950_1",109950,2017-01-01,410713,0.2,82143,"L9","Hire"
"C109950_2",109950,2018-01-01,418082,0.2,83616,"L9","Merit"
"C109950_3",109950,2019-01-01,436623,0.2,87325,"L9","Market Adjustment"
"C109950_4",109950,2020-01-01,433465,0.2,86693,"L9","Merit"
"C109950_5",109950,2021-01-01,464015,0.2,92803,"L9","Merit"
"C109950_6",109950,2022-01-01,443732,0.2,88746,"L9","Merit"
"C109950_7",109950,2023-01-01,465861,0.2,93172,"L9","Merit"
"C109950_8",109950,2024-01-01,596577,0.2,119315,"L9","Merit"
"C109950_9",109950,2025-01-01,473470,0.2,94694,"L9","Merit"
"C109950_10",109950,2026-01-01,486765,0.2,97353,"L9","Merit"
"C105405_1",105405,2017-01-01,356977,0.2,71395,"L9","Hire"
"C105405_2",105405,2018-01-01,362819,0.2,72564,"L9","Market Adjustment"
"C105405_3",105405,2019-01-01,369378,0.2,73876,"L9","Merit"
"C105405_4",105405,2020-01-01,394488,0.2,78898,"L9","Merit"
"C105405_5",105405,2021-01-01,398412,0.2,79682,"L9","Merit"
"C105405_6",105405,2022-01-01,464385,0.2,92877,"L9","Merit"
"C105405_7",105405,2023-01-01,441283,0.2,88257,"L9","Merit"
"C105405_8",105405,2024-01-01,455321,0.2,91064,"L9","Merit"
"C105405_9",105405,2025-01-01,510093,0.2,102019,"L9","Merit"
"C105405_10",105405,2026-01-01,461245,0.2,92249,"L9","Merit"
"C102916_1",102916,2018-01-01,332071,0.2,66414,"L9","Hire"
"C102916_2",102916,2019-01-01,346633,0.2,69327,"L9","Merit"
"C102916_3",102916,2020-01-01,363714,0.2,72743,"L9","Merit"
"C102916_4",102916,2021-01-01,360259,0.2,72052,"L9","Market Adjustment"
"C102916_5",102916,2022-01-01,383570,0.2,76714,"L9","Merit"
"C102916_6",102916,2023-01-01,418404,0.2,83681,"L9","Merit"
"C102916_7",102916,2024-01-01,417097,0.2,83419,"L9","Merit"
"C102916_8",102916,2025-01-01,462728,0.2,92546,"L9","Merit"
"C102916_9",102916,2026-01-01,489848,0.2,97970,"L9","Merit"
"C107473_1",107473,2018-01-01,319122,0.2,63824,"L9","Hire"
"C107473_2",107473,2019-01-01,332228,0.2,66446,"L9","Merit"
"C107473_3",107473,2020-01-01,346645,0.2,69329,"L9","Merit"
"C107473_4",107473,2021-01-01,340021,0.2,68004,"L9","Market Adjustment"
"C100546_1",100546,2018-01-01,402561,0.2,80512,"L9","Hire"
"C100546_2",100546,2019-01-01,421152,0.2,84230,"L9","Merit"
"C100546_3",100546,2020-01-01,415369,0.2,83074,"L9","Merit"
"C100546_4",100546,2021-01-01,449433,0.2,89887,"L9","Merit"
"C100546_5",100546,2022-01-01,441170,0.2,88234,"L9","Merit"
"C100546_6",100546,2023-01-01,485905,0.2,97181,"L9","Merit"
"C100546_7",100546,2024-01-01,469747,0.2,93949,"L9","Merit"
"C100546_8",100546,2025-01-01,469305,0.2,93861,"L9","Merit"
"C100546_9",100546,2026-01-01,510410,0.2,102082,"L9","Merit"
"C103099_1",103099,2019-01-01,373815,0.2,74763,"L9","Hire"
"C103099_2",103099,2020-01-01,387862,0.2,77572,"L9","Merit"
"C103099_3",103099,2021-01-01,392964,0.2,78593,"L9","Merit"
"C103099_4",103099,2022-01-01,416256,0.2,83251,"L9","Market Adjustment"
"C103099_5",103099,2023-01-01,435579,0.2,87116,"L9","Merit"
"C103099_6",103099,2024-01-01,413943,0.2,82789,"L9","Merit"
"C103099_7",103099,2025-01-01,428005,0.2,85601,"L9","Merit"
"C103099_8",103099,2026-01-01,462629,0.2,92526,"L9","Merit"
"C109850_1",109850,2019-01-01,310654,0.2,62131,"L9","Hire"
"C109850_2",109850,2020-01-01,316316,0.2,63263,"L9","Merit"
"C109850_3",109850,2021-01-01,320434,0.2,64087,"L9","Merit"
"C109850_4",109850,2022-01-01,343750,0.2,68750,"L9","Merit"
"C109850_5",109850,2023-01-01,345094,0.2,69019,"L9","Merit"
"C109850_6",109850,2024-01-01,382541,0.2,76508,"L9","Merit"
"C106707_1",106707,2019-01-01,357876,0.2,71575,"L9","Hire"
"C106707_2",106707,2020-01-01,375577,0.2,75115,"L9","Merit"
"C106707_3",106707,2021-01-01,389358,0.2,77872,"L9","Market Adjustment"
"C106707_4",106707,2022-01-01,385369,0.2,77074,"L9","Merit"
"C106707_5",106707,2023-01-01,436894,0.2,87379,"L9","Merit"
"C106707_6",106707,2024-01-01,385957,0.2,77191,"L9","Merit"
"C106707_7",106707,2025-01-01,485971,0.2,97194,"L9","Merit"
"C106707_8",106707,2026-01-01,406646,0.2,81329,"L9","Merit"
"C105122_1",105122,2019-01-01,406173,0.2,81235,"L9","Hire"
"C105122_2",105122,2020-01-01,419809,0.2,83962,"L9","Merit"
"C105122_3",105122,2021-01-01,445467,0.2,89093,"L9","Merit"
"C105122_4",105122,2022-01-01,461398,0.2,92280,"L9","Merit"
"C105122_5",105122,2023-01-01,501394,0.2,100279,"L9","Market Adjustment"
"C105122_6",105122,2024-01-01,437681,0.2,87536,"L9","Merit"
"C105122_7",105122,2025-01-01,537239,0.2,107448,"L9","Merit"
"C105122_8",105122,2026-01-01,547178,0.2,109436,"L9","Merit"
"C105581_1",105581,2020-01-01,461293,0.2,92259,"L9","Hire"
"C105581_2",105581,2021-01-01,478303,0.2,95661,"L9","Merit"
"C105581_3",105581,2022-01-01,477617,0.2,95523,"L9","Merit"
"C105581_4",105581,2023-01-01,504340,0.2,100868,"L9","Merit"
"C105581_5",105581,2024-01-01,535323,0.2,107065,"L9","Merit"
"C105581_6",105581,2025-01-01,525394,0.2,105079,"L9","Merit"
"C105581_7",105581,2026-01-01,538571,0.2,107714,"L9","Merit"
"C103096_1",103096,2020-01-01,387446,0.2,77489,"L9","Hire"
"C103096_2",103096,2021-01-01,393333,0.2,78667,"L9","Merit"
"C103096_3",103096,2022-01-01,404914,0.2,80983,"L9","Merit"
"C103096_4",103096,2023-01-01,445475,0.2,89095,"L9","Merit"
"C103096_5",103096,2024-01-01,436384,0.2,87277,"L9","Merit"
"C103096_6",103096,2025-01-01,466739,0.2,93348,"L9","Merit"
"C103096_7",103096,2026-01-01,497323,0.2,99465,"L9","Market Adjustment"
"C107711_1",107711,2022-01-01,351471,0.2,70294,"L9","Hire"
"C107711_2",107711,2023-01-01,370686,0.2,74137,"L9","Merit"
"C107711_3",107711,2024-01-01,380486,0.2,76097,"L9","Merit"
"C107711_4",107711,2025-01-01,400802,0.2,80160,"L9","Merit"
"C107711_5",107711,2026-01-01,375239,0.2,75048,"L9","Merit"
"C102463_1",102463,2022-01-01,384385,0.2,76877,"L9","Hire"
"C102463_2",102463,2023-01-01,405202,0.2,81040,"L9","Merit"
"C102463_3",102463,2024-01-01,420286,0.2,84057,"L9","Merit"
"C102463_4",102463,2025-01-01,427481,0.2,85496,"L9","Merit"
"C102463_5",102463,2026-01-01,451814,0.2,90363,"L9","Merit"
"C106843_1",106843,2023-01-01,310702,0.2,62140,"L9","Hire"
"C106843_2",106843,2024-01-01,321617,0.2,64323,"L9","Merit"
"C106843_3",106843,2025-01-01,338380,0.2,67676,"L9","Merit"
"C106843_4",106843,2026-01-01,358446,0.2,71689,"L9","Merit"
"C105036_1",105036,2023-01-01,351287,0.2,70257,"L9","Hire"
"C105036_2",105036,2024-01-01,360051,0.2,72010,"L9","Merit"
"C105036_3",105036,2025-01-01,376119,0.2,75224,"L9","Merit"
"C105036_4",105036,2026-01-01,374641,0.2,74928,"L9","Merit"
"C108431_1",108431,2024-01-01,457147,0.2,91429,"L9","Hire"
"C108431_2",108431,2025-01-01,478734,0.2,95747,"L9","Merit"
"C108431_3",108431,2026-01-01,484791,0.2,96958,"L9","Market Adjustment"
"C103743_1",103743,2024-01-01,390969,0.2,78194,"L9","Hire"
"C103743_2",103743,2025-01-01,401174,0.2,80235,"L9","Merit"
"C103743_3",103743,2026-01-01,407811,0.2,81562,"L9","Merit"
"C102042_1",102042,2025-01-01,323245,0.2,64649,"L9","Hire"
"C102042_2",102042,2026-01-01,333268,0.2,66654,"L9","Market Adjustment"
"C100025_1",100025,2025-01-01,470038,0.2,94008,"L9","Hire"
"C100025_2",100025,2026-01-01,478245,0.2,95649,"L9","Merit"
"C100526_1",100526,2013-01-01,331288,0.2,66258,"L8","Hire"
"C100526_2",100526,2014-01-01,336319,0.2,67264,"L8","Merit"
"C100526_3",100526,2015-01-01,344018,0.2,68804,"L8","Merit"
"C100526_4",100526,2016-01-01,365206,0.2,73041,"L8","Merit"
"C100526_5",100526,2017-01-01,409515,0.2,81903,"L8","Merit"
"C100526_6",100526,2018-01-01,414688,0.2,82938,"L8","Market Adjustment"
"C100526_7",100526,2019-01-01,429411,0.2,85882,"L8","Merit"
"C100526_8",100526,2020-01-01,399450,0.2,79890,"L8","Merit"
"C100526_9",100526,2021-01-01,445294,0.2,89059,"L8","Merit"
"C100526_10",100526,2022-01-01,412817,0.2,82563,"L8","Merit"
"C100526_11",100526,2023-01-01,459615,0.2,91923,"L8","Merit"
"C100526_12",100526,2024-01-01,435300,0.2,87060,"L8","Merit"
"C100526_13",100526,2025-01-01,406143,0.2,81229,"L8","Merit"
"C100526_14",100526,2026-01-01,625197,0.2,125039,"L8","Merit"
"C108254_1",108254,2013-01-01,261675,0.2,52335,"L8","Hire"
"C108254_2",108254,2014-01-01,267748,0.2,53550,"L8","Market Adjustment"
"C108254_3",108254,2015-01-01,281252,0.2,56250,"L8","Merit"
"C108254_4",108254,2016-01-01,278842,0.2,55768,"L8","Merit"
"C108254_5",108254,2017-01-01,301612,0.2,60322,"L8","Merit"
"C108254_6",108254,2018-01-01,325142,0.2,65028,"L8","Merit"
"C108254_7",108254,2019-01-01,290873,0.2,58175,"L8","Market Adjustment"
"C108254_8",108254,2020-01-01,372194,0.2,74439,"L8","Merit"
"C108254_9",108254,2021-01-01,334915,0.2,66983,"L8","Merit"
"C108254_10",108254,2022-01-01,381613,0.2,76323,"L8","Merit"
"C108254_11",108254,2023-01-01,397795,0.2,79559,"L8","Merit"
"C108254_12",108254,2024-01-01,322063,0.2,64413,"L8","Merit"
"C108254_13",108254,2025-01-01,370412,0.2,74082,"L8","Merit"
"C108254_14",108254,2026-01-01,376793,0.2,75359,"L8","Merit"
"C109577_1",109577,2014-01-01,333363,0.2,66673,"L8","Hire"
"C109577_2",109577,2015-01-01,349316,0.2,69863,"L8","Merit"
"C109577_3",109577,2016-01-01,368465,0.2,73693,"L8","Merit"
"C109577_4",109577,2017-01-01,361764,0.2,72353,"L8","Market Adjustment"
"C109577_5",109577,2018-01-01,387840,0.2,77568,"L8","Merit"
"C109577_6",109577,2019-01-01,367820,0.2,73564,"L8","Merit"
"C109577_7",109577,2020-01-01,445255,0.2,89051,"L8","Merit"
"C109577_8",109577,2021-01-01,398011,0.2,79602,"L8","Merit"
"C109577_9",109577,2022-01-01,437121,0.2,87424,"L8","Merit"
"C109577_10",109577,2023-01-01,390757,0.2,78151,"L8","Merit"
"C109577_11",109577,2024-01-01,555196,0.2,111039,"L8","Merit"
"C109577_12",109577,2025-01-01,463376,0.2,92675,"L8","Merit"
"C109577_13",109577,2026-01-01,498846,0.2,99769,"L8","Merit"
"C107004_1",107004,2014-01-01,303042,0.2,60608,"L8","Hire"
"C107004_2",107004,2015-01-01,309726,0.2,61945,"L8","Merit"
"C107004_3",107004,2016-01-01,314861,0.2,62972,"L8","Merit"
"C107004_4",107004,2017-01-01,354560,0.2,70912,"L8","Merit"
"C107004_5",107004,2018-01-01,373712,0.2,74742,"L8","Merit"
"C107004_6",107004,2019-01-01,380834,0.2,76167,"L8","Merit"
"C107004_7",107004,2020-01-01,414650,0.2,82930,"L8","Merit"
"C107004_8",107004,2021-01-01,357689,0.2,71538,"L8","Merit"
"C107004_9",107004,2022-01-01,413907,0.2,82781,"L8","Merit"
"C107004_10",107004,2023-01-01,374942,0.2,74988,"L8","Merit"
"C107004_11",107004,2024-01-01,381612,0.2,76322,"L8","Merit"
"C107004_12",107004,2025-01-01,465111,0.2,93022,"L8","Merit"
"C107004_13",107004,2026-01-01,363233,0.2,72647,"L8","Merit"
"C109343_1",109343,2014-01-01,345349,0.2,69070,"L8","Hire"
"C109343_2",109343,2015-01-01,352058,0.2,70412,"L8","Merit"
"C109343_3",109343,2016-01-01,361977,0.2,72395,"L8","Merit"
"C109343_4",109343,2017-01-01,365756,0.2,73151,"L8","Market Adjustment"
"C109343_5",109343,2018-01-01,386858,0.2,77372,"L8","Merit"
"C109343_6",109343,2019-01-01,426322,0.2,85264,"L8","Merit"
"C109343_7",109343,2020-01-01,468474,0.2,93695,"L8","Merit"
"C109343_8",109343,2021-01-01,443933,0.2,88787,"L8","Merit"
"C109343_9",109343,2022-01-01,451275,0.2,90255,"L8","Merit"
"C109343_10",109343,2023-01-01,490036,0.2,98007,"L8","Merit"
"C109343_11",109343,2024-01-01,552320,0.2,110464,"L8","Merit"
"C109343_12",109343,2025-01-01,434738,0.2,86948,"L8","Merit"
"C109343_13",109343,2026-01-01,535287,0.2,107057,"L8","Merit"
"C104073_1",104073,2014-01-01,306518,0.2,61304,"L8","Hire"
"C104073_2",104073,2015-01-01,319984,0.2,63997,"L8","Merit"
"C104073_3",104073,2016-01-01,322320,0.2,64464,"L8","Merit"
"C104073_4",104073,2017-01-01,336308,0.2,67262,"L8","Merit"
"C104073_5",104073,2018-01-01,367936,0.2,73587,"L8","Merit"
"C104073_6",104073,2019-01-01,396592,0.2,79318,"L8","Merit"
"C104073_7",104073,2020-01-01,347187,0.2,69437,"L8","Merit"
"C104073_8",104073,2021-01-01,415160,0.2,83032,"L8","Merit"
"C104073_9",104073,2022-01-01,353807,0.2,70761,"L8","Merit"
"C104073_10",104073,2023-01-01,362307,0.2,72461,"L8","Merit"
"C104073_11",104073,2024-01-01,500707,0.2,100141,"L8","Merit"
"C104073_12",104073,2025-01-01,368460,0.2,73692,"L8","Merit"
"C104073_13",104073,2026-01-01,487680,0.2,97536,"L8","Merit"
"C108305_1",108305,2015-01-01,336623,0.2,67325,"L8","Hire"
"C108305_2",108305,2016-01-01,345688,0.2,69138,"L8","Merit"
"C108305_3",108305,2017-01-01,374309,0.2,74862,"L8","Merit"
"C108305_4",108305,2018-01-01,393485,0.2,78697,"L8","Market Adjustment"
"C108305_5",108305,2019-01-01,371787,0.2,74357,"L8","Merit"
"C108305_6",108305,2020-01-01,423959,0.2,84792,"L8","Merit"
"C108305_7",108305,2021-01-01,389195,0.2,77839,"L8","Merit"
"C109390_1",109390,2015-01-01,302104,0.2,60421,"L8","Hire"
"C109390_2",109390,2016-01-01,315149,0.2,63030,"L8","Merit"
"C109390_3",109390,2017-01-01,330787,0.2,66157,"L8","Merit"
"C109390_4",109390,2018-01-01,345618,0.2,69124,"L8","Merit"
"C109390_5",109390,2019-01-01,332376,0.2,66475,"L8","Merit"
"C109390_6",109390,2020-01-01,353624,0.2,70725,"L8","Merit"
"C109390_7",109390,2021-01-01,342026,0.2,68405,"L8","Merit"
"C109390_8",109390,2022-01-01,429163,0.2,85833,"L8","Merit"
"C109390_9",109390,2023-01-01,366245,0.2,73249,"L8","Merit"
"C109390_10",109390,2024-01-01,469976,0.2,93995,"L8","Merit"
"C109390_11",109390,2025-01-01,452466,0.2,90493,"L8","Merit"
"C109390_12",109390,2026-01-01,509460,0.2,101892,"L8","Merit"
"C106556_1",106556,2015-01-01,290125,0.2,58025,"L8","Hire"
"C106556_2",106556,2016-01-01,301901,0.2,60380,"L8","Market Adjustment"
"C106556_3",106556,2017-01-01,307178,0.2,61436,"L8","Merit"
"C106556_4",106556,2018-01-01,311482,0.2,62296,"L8","Merit"
"C106556_5",106556,2019-01-01,315714,0.2,63143,"L8","Merit"
"C106556_6",106556,2020-01-01,329491,0.2,65898,"L8","Merit"
"C106556_7",106556,2021-01-01,369894,0.2,73979,"L8","Merit"
"C106556_8",106556,2022-01-01,412327,0.2,82465,"L8","Merit"
"C106556_9",106556,2023-01-01,389097,0.2,77819,"L8","Merit"
"C106556_10",106556,2024-01-01,385237,0.2,77047,"L8","Merit"
"C106556_11",106556,2025-01-01,360906,0.2,72181,"L8","Market Adjustment"
"C106556_12",106556,2026-01-01,359632,0.2,71926,"L8","Merit"
"C105839_1",105839,2015-01-01,305725,0.2,61145,"L8","Hire"
"C105839_2",105839,2016-01-01,321314,0.2,64263,"L8","Merit"
"C105839_3",105839,2017-01-01,332010,0.2,66402,"L8","Merit"
"C105839_4",105839,2018-01-01,341327,0.2,68265,"L8","Market Adjustment"
"C105839_5",105839,2019-01-01,337614,0.2,67523,"L8","Merit"
"C105839_6",105839,2020-01-01,333916,0.2,66783,"L8","Merit"
