"SurveyResponseID","EmployeeID","SurveyDate","EngagementScore","ManagerEffectivenessScore","InclusionScore","IntentToStayScore","SurveyParticipationFlag"
"S202403_103912",103912,2024-03-31,3.6,5,4.6,3.9,"Yes"
"S202403_104811",104811,2024-03-31,3.6,3.9,3.7,3.2,"Yes"
"S202403_103113",103113,2024-03-31,3.2,4.6,4.2,3.9,"Yes"
"S202403_100186",100186,2024-03-31,3.9,2.9,4.3,3.7,"Yes"
"S202403_104738",104738,2024-03-31,2,4,4,5,"Yes"
"S202403_105087",105087,2024-03-31,4.5,3.6,3.9,3.2,"Yes"
"S202403_100303",100303,2024-03-31,4.5,3.6,4,4.6,"Yes"
"S202403_108386",108386,2024-03-31,4.7,4.5,3.8,3.3,"Yes"
"S202403_107865",107865,2024-03-31,4.2,4,4.2,1.9,"Yes"
"S202403_104583",104583,2024-03-31,4.1,4.3,4.7,2,"Yes"
"S202403_100675",100675,2024-03-31,4,4.7,4.5,3.4,"Yes"
"S202403_105294",105294,2024-03-31,3,2.9,4.7,5,"Yes"
"S202403_104396",104396,2024-03-31,4.1,5,3.4,3.7,"Yes"
"S202403_103006",103006,2024-03-31,3.6,4.7,3.6,4.7,"Yes"
"S202403_107439",107439,2024-03-31,3.1,4.1,3.2,4.2,"Yes"
"S202403_108906",108906,2024-03-31,3.7,4.9,4.3,4.3,"Yes"
"S202403_106302",106302,2024-03-31,3.8,4.2,3.7,3.8,"Yes"
"S202403_107673",107673,2024-03-31,3.2,3.7,3.3,3.4,"Yes"
"S202403_109811",109811,2024-03-31,4,3.8,4.4,4.4,"Yes"
"S202403_102673",102673,2024-03-31,3.8,4.8,3.8,3.8,"Yes"
"S202403_102052",102052,2024-03-31,4.6,5,3.9,2.6,"Yes"
"S202403_109885",109885,2024-03-31,3,4.3,4.2,4,"Yes"
"S202403_108106",108106,2024-03-31,4.2,2.7,3.6,4,"Yes"
"S202403_103155",103155,2024-03-31,3.1,3.6,3.5,3.9,"Yes"
"S202403_108841",108841,2024-03-31,2.8,3.2,3.7,4.1,"Yes"
"S202403_103920",103920,2024-03-31,4.4,4,4.2,4.7,"Yes"
"S202403_109948",109948,2024-03-31,4,3.9,4,3.5,"Yes"
"S202403_109935",109935,2024-03-31,4.5,3.6,3.4,3.6,"Yes"
"S202403_106290",106290,2024-03-31,2.8,3.2,4.5,5,"Yes"
"S202403_102497",102497,2024-03-31,2.8,3.6,3.9,5,"Yes"
"S202403_108365",108365,2024-03-31,4.7,3.5,3.9,2.8,"Yes"
"S202403_106334",106334,2024-03-31,4.4,3.5,3.9,2.8,"Yes"
"S202403_101603",101603,2024-03-31,3.8,4.4,3.5,3.7,"Yes"
"S202403_100947",100947,2024-03-31,5,3.2,3.6,4.2,"Yes"
"S202403_108852",108852,2024-03-31,3.9,4.2,3.7,4.6,"Yes"
"S202403_101646",101646,2024-03-31,2.9,4.3,4.8,4.1,"Yes"
"S202403_103417",103417,2024-03-31,2.6,4,4.5,4.1,"Yes"
"S202403_109939",109939,2024-03-31,3.5,3.7,4.4,3.9,"Yes"
"S202403_100762",100762,2024-03-31,2.8,4.5,3.5,2.9,"Yes"
"S202403_107984",107984,2024-03-31,4,3.5,3.1,2.5,"Yes"
"S202403_106479",106479,2024-03-31,4,3.9,4.3,4.3,"Yes"
"S202403_100816",100816,2024-03-31,3.5,4.8,4.5,2.8,"Yes"
"S202403_104596",104596,2024-03-31,4.7,3.9,3.6,4.1,"Yes"
"S202403_104838",104838,2024-03-31,3.7,3.8,4,4.6,"Yes"
"S202403_101347",101347,2024-03-31,3.5,3.8,2.7,4.5,"Yes"
"S202403_109710",109710,2024-03-31,4.9,3.2,4.1,4.8,"Yes"
"S202403_101132",101132,2024-03-31,4.4,3.5,3.7,3.2,"Yes"
"S202403_103999",103999,2024-03-31,2.9,3.8,4.4,5,"Yes"
"S202403_103388",103388,2024-03-31,3.1,3.9,4.5,3.8,"Yes"
"S202403_100504",100504,2024-03-31,4.7,4.4,3.8,4.9,"Yes"
"S202403_103681",103681,2024-03-31,3.3,4.2,4,3.7,"Yes"
"S202403_107091",107091,2024-03-31,3.8,4,4.4,4,"Yes"
"S202403_101601",101601,2024-03-31,3.3,3.7,3.4,3.3,"Yes"
"S202403_100369",100369,2024-03-31,3.5,4.1,3.5,2.8,"Yes"
"S202403_100111",100111,2024-03-31,3.9,3.3,4.2,3.1,"Yes"
"S202403_106044",106044,2024-03-31,4.1,4.5,3.6,4.3,"Yes"
"S202403_103764",103764,2024-03-31,3.9,3.9,4.5,3.2,"Yes"
"S202403_106283",106283,2024-03-31,3.9,3.3,3.6,3.4,"Yes"
"S202403_100074",100074,2024-03-31,5,4.1,3.6,2.3,"Yes"
"S202403_103331",103331,2024-03-31,3.2,3.5,3.5,2.5,"Yes"
"S202403_109424",109424,2024-03-31,4.2,4.7,4.1,4.3,"Yes"
"S202403_108189",108189,2024-03-31,3.3,4.8,4.4,3.1,"Yes"
"S202403_101532",101532,2024-03-31,3.7,3.8,3,4.3,"Yes"
"S202403_101772",101772,2024-03-31,4.8,3.1,4.9,2.7,"Yes"
"S202403_103754",103754,2024-03-31,4.7,3.4,4.3,3.9,"Yes"
"S202403_107667",107667,2024-03-31,4.2,3.3,4.4,4.5,"Yes"
"S202403_105201",105201,2024-03-31,4,5,4.4,5,"Yes"
"S202403_105179",105179,2024-03-31,4.1,3.8,3.6,4.1,"Yes"
"S202403_104987",104987,2024-03-31,3,3.9,4.3,4.3,"Yes"
"S202403_102671",102671,2024-03-31,3.6,4.7,5,4.9,"Yes"
"S202403_104483",104483,2024-03-31,3.4,3.1,3.4,3.2,"Yes"
"S202403_103393",103393,2024-03-31,3.3,4.8,4,3.3,"Yes"
"S202403_100815",100815,2024-03-31,3.5,3.9,4.1,3.8,"Yes"
"S202403_104635",104635,2024-03-31,3.4,5,3.4,3.2,"Yes"
"S202403_107318",107318,2024-03-31,4.2,3.8,4.2,4.7,"Yes"
"S202403_108453",108453,2024-03-31,3.1,3.2,4.1,3.5,"Yes"
"S202403_107228",107228,2024-03-31,4.2,3.8,4.4,2.6,"Yes"
"S202403_102015",102015,2024-03-31,3.9,3,3.6,4.1,"Yes"
"S202403_105695",105695,2024-03-31,3.4,3.6,5,3.8,"Yes"
"S202403_105923",105923,2024-03-31,3.9,4.5,3.1,5,"Yes"
"S202403_100912",100912,2024-03-31,4.4,3.3,3.9,4.5,"Yes"
"S202403_109477",109477,2024-03-31,2.7,3,5,2.9,"Yes"
"S202403_100733",100733,2024-03-31,4.2,3.2,3.9,2.8,"Yes"
"S202403_104188",104188,2024-03-31,4.6,4.1,4.4,3.5,"Yes"
"S202403_107970",107970,2024-03-31,2.7,3.3,4.1,3.4,"Yes"
"S202403_102372",102372,2024-03-31,3.3,4.8,3.9,4.1,"Yes"
"S202403_106988",106988,2024-03-31,3,3.9,3.8,4.2,"Yes"
"S202403_106311",106311,2024-03-31,4,3.8,4.2,3.2,"Yes"
"S202403_108760",108760,2024-03-31,4.1,3.3,4.6,5,"Yes"
"S202403_104697",104697,2024-03-31,3.7,4.1,3.5,3.3,"Yes"
"S202403_108255",108255,2024-03-31,3.1,4.5,3.6,4,"Yes"
"S202403_100367",100367,2024-03-31,4.1,3,3.4,4.1,"Yes"
"S202403_102149",102149,2024-03-31,4.4,3.4,4.5,3.6,"Yes"
"S202403_108213",108213,2024-03-31,4,4.3,3.9,2.6,"Yes"
"S202403_106125",106125,2024-03-31,3,4.4,4.2,4.8,"Yes"
"S202403_101454",101454,2024-03-31,3.3,3.1,3.7,3.8,"Yes"
"S202403_105938",105938,2024-03-31,4,3.8,4.2,2.3,"Yes"
"S202403_105833",105833,2024-03-31,3.5,2.8,4.1,5,"Yes"
"S202403_104784",104784,2024-03-31,4.1,4.4,4,4.5,"Yes"
"S202403_109913",109913,2024-03-31,3.4,3.4,3.7,3.1,"Yes"
"S202403_100187",100187,2024-03-31,2.6,4.2,3.8,3.7,"Yes"
"S202403_107324",107324,2024-03-31,4,3.8,4.9,3.2,"Yes"
"S202403_102897",102897,2024-03-31,4.4,3,4.5,3.6,"Yes"
"S202403_102687",102687,2024-03-31,4.1,3.9,3.4,2.9,"Yes"
"S202403_104192",104192,2024-03-31,3.9,4.2,4.3,2.8,"Yes"
"S202403_102847",102847,2024-03-31,2.2,3.7,4.2,3.3,"Yes"
"S202403_104248",104248,2024-03-31,4.4,3.9,3.7,4.4,"Yes"
"S202403_109711",109711,2024-03-31,3.9,4.4,4.6,3.5,"Yes"
"S202403_107704",107704,2024-03-31,4.4,4.2,4.3,2.4,"Yes"
"S202403_101876",101876,2024-03-31,3.3,3.5,3.5,4,"Yes"
"S202403_106678",106678,2024-03-31,2.8,5,4.2,3.9,"Yes"
"S202403_106985",106985,2024-03-31,2,4,4.1,3.1,"Yes"
"S202403_100939",100939,2024-03-31,3,3.4,4.8,3.8,"Yes"
"S202403_104646",104646,2024-03-31,3.5,3.8,3,4.1,"Yes"
"S202403_105917",105917,2024-03-31,4.4,4.7,3.1,4.1,"Yes"
"S202403_107338",107338,2024-03-31,3.9,3.9,4,4.4,"Yes"
"S202403_103440",103440,2024-03-31,3.9,3,4.2,4.7,"Yes"
"S202403_100168",100168,2024-03-31,3.6,3.5,4.1,1.9,"Yes"
"S202403_106642",106642,2024-03-31,3.7,3.8,3.7,4.6,"Yes"
"S202403_100597",100597,2024-03-31,4.7,4.3,4.1,3.4,"Yes"
"S202403_103114",103114,2024-03-31,3.9,4.3,3.8,2.9,"Yes"
"S202403_100606",100606,2024-03-31,3.9,3.5,2.7,3.4,"Yes"
"S202403_101842",101842,2024-03-31,3,3.2,3.8,4.4,"Yes"
"S202403_106434",106434,2024-03-31,3.1,4.5,3.4,4.2,"Yes"
"S202403_107600",107600,2024-03-31,3.4,4.7,3.8,4.5,"Yes"
"S202403_101655",101655,2024-03-31,3.5,4.6,3.7,3.4,"Yes"
"S202403_100451",100451,2024-03-31,2.9,3.1,4.4,3.8,"Yes"
"S202403_109762",109762,2024-03-31,4,4.4,3.7,3.3,"Yes"
"S202403_103948",103948,2024-03-31,3.8,3.8,3.8,3.4,"Yes"
"S202403_108746",108746,2024-03-31,4.3,3.7,3.8,4,"Yes"
"S202403_109793",109793,2024-03-31,3,3.9,4,3.8,"Yes"
"S202403_104867",104867,2024-03-31,3.7,4,3.7,5,"Yes"
"S202403_102329",102329,2024-03-31,2.9,3.4,4.4,3.1,"Yes"
"S202403_109079",109079,2024-03-31,4.7,4.2,4,4.3,"Yes"
"S202403_102775",102775,2024-03-31,4.2,4.7,4.4,3.9,"Yes"
"S202403_105211",105211,2024-03-31,5,3.4,3.6,3,"Yes"
"S202403_105339",105339,2024-03-31,3.8,3.1,3.4,3.1,"Yes"
"S202403_108962",108962,2024-03-31,3.4,3.6,3.7,4,"Yes"
"S202403_106436",106436,2024-03-31,4.1,3.3,3.3,4.6,"Yes"
"S202403_104986",104986,2024-03-31,4.1,4.1,4.1,3.8,"Yes"
"S202403_100732",100732,2024-03-31,3.7,3.4,3.7,2.9,"Yes"
"S202403_103462",103462,2024-03-31,4,4,3.5,4.3,"Yes"
"S202403_101887",101887,2024-03-31,3.1,4.2,4,3.2,"Yes"
"S202403_104513",104513,2024-03-31,3.4,3.5,3.5,3.1,"Yes"
"S202403_104341",104341,2024-03-31,4.8,3.6,3.2,2.5,"Yes"
"S202403_109145",109145,2024-03-31,2.6,4.5,3.7,4.2,"Yes"
"S202403_102222",102222,2024-03-31,3.4,4.1,4.7,2.9,"Yes"
"S202403_106151",106151,2024-03-31,3.5,2.9,3.9,4.1,"Yes"
"S202403_104433",104433,2024-03-31,3.2,3.5,4,5,"Yes"
"S202403_102505",102505,2024-03-31,3.6,3.8,3.7,3,"Yes"
"S202403_105948",105948,2024-03-31,4.2,4.7,4.1,2.9,"Yes"
"S202403_106361",106361,2024-03-31,3.3,4.2,3.3,4,"Yes"
"S202403_102260",102260,2024-03-31,3.6,3.4,4.3,3.9,"Yes"
"S202403_105486",105486,2024-03-31,2.9,3.8,3.9,3.9,"Yes"
"S202403_107802",107802,2024-03-31,3.2,3.5,4.5,3.6,"Yes"
"S202403_104523",104523,2024-03-31,2.6,4.6,3.5,2.9,"Yes"
"S202403_103761",103761,2024-03-31,3.3,2,3.2,3.8,"Yes"
"S202403_109900",109900,2024-03-31,4,3.7,3.6,2.7,"Yes"
"S202403_103378",103378,2024-03-31,2.9,4,4.5,4.1,"Yes"
"S202403_105280",105280,2024-03-31,3.8,3.7,4.2,2.7,"Yes"
"S202403_106071",106071,2024-03-31,2.9,3.4,3.9,3.5,"Yes"
"S202403_107832",107832,2024-03-31,3.8,4.8,3,3.4,"Yes"
"S202403_103446",103446,2024-03-31,4.7,3.3,4.4,4.1,"Yes"
"S202403_107383",107383,2024-03-31,3.8,4.3,3.9,5,"Yes"
"S202403_105437",105437,2024-03-31,4.9,4.2,3.7,4.4,"Yes"
"S202403_102063",102063,2024-03-31,3,3.8,3.5,2.7,"Yes"
"S202403_107165",107165,2024-03-31,3.8,3.9,4.3,5,"Yes"
"S202403_109660",109660,2024-03-31,2.8,3.9,3.8,3.5,"Yes"
"S202403_101074",101074,2024-03-31,3.6,3.7,4.7,4.7,"Yes"
"S202403_108902",108902,2024-03-31,3.6,2.3,4.5,3.1,"Yes"
"S202403_101099",101099,2024-03-31,3.9,4.4,3.6,3.8,"Yes"
"S202403_100596",100596,2024-03-31,2.3,4.1,3.7,3.3,"Yes"
"S202403_105614",105614,2024-03-31,2.8,4.3,4,3.4,"Yes"
"S202403_105349",105349,2024-03-31,2.9,4,4,4.2,"Yes"
"S202403_108499",108499,2024-03-31,3,3.9,3.8,3.7,"Yes"
"S202403_102698",102698,2024-03-31,2.1,4.3,4.6,4.5,"Yes"
"S202403_104409",104409,2024-03-31,3.5,3.2,4.1,3.4,"Yes"
"S202403_103434",103434,2024-03-31,2.6,3,3.5,4.2,"Yes"
"S202403_106650",106650,2024-03-31,4.1,4.2,3.6,4.6,"Yes"
"S202403_100790",100790,2024-03-31,3.7,3.3,3.5,3,"Yes"
"S202403_108976",108976,2024-03-31,3,5,3.4,3.6,"Yes"
"S202403_106515",106515,2024-03-31,2.9,4.5,4.6,2.2,"Yes"
"S202403_108781",108781,2024-03-31,4.1,3.7,4.1,3.4,"Yes"
"S202403_104786",104786,2024-03-31,3.9,4.4,3.2,4.1,"Yes"
"S202403_104207",104207,2024-03-31,3.1,4.4,4.2,2.2,"Yes"
"S202403_104428",104428,2024-03-31,4.9,3.1,4.3,4.4,"Yes"
"S202403_100080",100080,2024-03-31,3.1,3.6,4.3,4.1,"Yes"
"S202403_107537",107537,2024-03-31,2.4,3.3,4,4.5,"Yes"
"S202403_104161",104161,2024-03-31,3.6,4.3,4.3,4.1,"Yes"
"S202403_106543",106543,2024-03-31,3.1,3.6,4.3,5,"Yes"
"S202403_100406",100406,2024-03-31,3.2,3.1,5,3.6,"Yes"
"S202403_109878",109878,2024-03-31,4.3,3.3,4.9,3.2,"Yes"
"S202403_103904",103904,2024-03-31,3.9,3.4,3.9,3.5,"Yes"
"S202403_101172",101172,2024-03-31,4.3,4.3,3.9,4.6,"Yes"
"S202403_103402",103402,2024-03-31,3.7,4.5,4.5,3.4,"Yes"
"S202403_106423",106423,2024-03-31,3.4,3.9,4.3,2.8,"Yes"
"S202403_107247",107247,2024-03-31,4.2,3.6,4,3.2,"Yes"
"S202403_103159",103159,2024-03-31,3.3,3,3.9,3.7,"Yes"
"S202403_104813",104813,2024-03-31,4.9,4,3.4,3.7,"Yes"
"S202403_106043",106043,2024-03-31,2.9,4.3,4.4,3.1,"Yes"
"S202403_104543",104543,2024-03-31,3.8,2.8,3.6,4.4,"Yes"
"S202403_106822",106822,2024-03-31,4.5,2.7,4.3,3.6,"Yes"
"S202403_102814",102814,2024-03-31,3.2,4.9,4.4,3.5,"Yes"
"S202403_101653",101653,2024-03-31,4,5,3.5,3.5,"Yes"
"S202403_101715",101715,2024-03-31,4.5,4.9,4.6,4.6,"Yes"
"S202403_108720",108720,2024-03-31,5,4.1,3.6,3.8,"Yes"
"S202403_101339",101339,2024-03-31,4.5,3,4.5,4.9,"Yes"
"S202403_108500",108500,2024-03-31,3,4,3.9,3.1,"Yes"
"S202403_108238",108238,2024-03-31,5,3.5,4.1,3.8,"Yes"
"S202403_103382",103382,2024-03-31,3.2,3.5,4.3,3.1,"Yes"
"S202403_101175",101175,2024-03-31,2.5,4.7,4.5,4.9,"Yes"
"S202403_105315",105315,2024-03-31,3.8,3.7,4.3,4.3,"Yes"
"S202403_101853",101853,2024-03-31,4.5,3.9,3.7,3.4,"Yes"
"S202403_109664",109664,2024-03-31,3.8,4.5,4.7,3.4,"Yes"
"S202403_107918",107918,2024-03-31,3.8,2.7,2.8,3,"Yes"
"S202403_106601",106601,2024-03-31,4.1,4.1,4.1,3.8,"Yes"
"S202403_108837",108837,2024-03-31,3.7,4.4,4.5,4.5,"Yes"
"S202403_108194",108194,2024-03-31,2.9,2.8,3.3,2.6,"Yes"
"S202403_103622",103622,2024-03-31,3.8,3.4,4,3.3,"Yes"
"S202403_105880",105880,2024-03-31,4.4,4.5,3.6,5,"Yes"
"S202403_107878",107878,2024-03-31,3.3,3.1,4.1,3,"Yes"
"S202403_104424",104424,2024-03-31,5,3.6,4.2,2.8,"Yes"
"S202403_103563",103563,2024-03-31,2.6,4.6,4.4,5,"Yes"
"S202403_107884",107884,2024-03-31,3.1,3.2,3.3,3.3,"Yes"
"S202403_105314",105314,2024-03-31,3.3,5,3.7,4,"Yes"
"S202403_100055",100055,2024-03-31,3.5,4.6,4.3,3.9,"Yes"
"S202403_103116",103116,2024-03-31,4.5,3.4,3.9,3.8,"Yes"
"S202403_109804",109804,2024-03-31,3.7,4.2,4,4.5,"Yes"
"S202403_105005",105005,2024-03-31,4.2,4.3,3.8,3.4,"Yes"
"S202403_106558",106558,2024-03-31,4,4,4,5,"Yes"
"S202403_108683",108683,2024-03-31,4.8,3.2,4.1,3.8,"Yes"
"S202403_108844",108844,2024-03-31,3.8,4.6,4.5,5,"Yes"
"S202403_107733",107733,2024-03-31,5,5,4.2,5,"Yes"
"S202403_107037",107037,2024-03-31,3,3.8,4.3,4.5,"Yes"
"S202403_109489",109489,2024-03-31,4.9,3.3,4,5,"Yes"
"S202403_107127",107127,2024-03-31,3.7,3.6,4.7,4.5,"Yes"
"S202403_100221",100221,2024-03-31,3.7,4.5,5,3.4,"Yes"
"S202403_101564",101564,2024-03-31,4.7,3.4,3.8,3.4,"Yes"
"S202403_106220",106220,2024-03-31,3,4.4,4.3,3.9,"Yes"
"S202403_107665",107665,2024-03-31,4.2,3.8,4.4,3.6,"Yes"
"S202403_103372",103372,2024-03-31,4.4,4.4,3.3,3.7,"Yes"
"S202403_102848",102848,2024-03-31,2.7,4.3,3.7,3.8,"Yes"
"S202403_109881",109881,2024-03-31,3.2,4.1,3.7,2.2,"Yes"
"S202403_107132",107132,2024-03-31,4.7,3.4,4.5,3.4,"Yes"
"S202403_107227",107227,2024-03-31,4.2,3.5,3.4,2.4,"Yes"
"S202403_100438",100438,2024-03-31,3.4,2.9,3.7,4.6,"Yes"
"S202403_104992",104992,2024-03-31,3.6,2.9,3.9,2.8,"Yes"
"S202403_109507",109507,2024-03-31,2.4,4.8,4.7,3.4,"Yes"
"S202403_103600",103600,2024-03-31,4.1,3.7,3.8,3.8,"Yes"
"S202403_109849",109849,2024-03-31,4.1,4.3,3.4,3.1,"Yes"
"S202403_105598",105598,2024-03-31,4,3.8,3.8,4.4,"Yes"
"S202403_100070",100070,2024-03-31,4.1,3.5,4,3.6,"Yes"
"S202403_106958",106958,2024-03-31,3.8,4,3.7,4,"Yes"
"S202403_104401",104401,2024-03-31,3,4.3,3.8,3.3,"Yes"
"S202403_105974",105974,2024-03-31,3.1,4.5,4.1,2.7,"Yes"
"S202403_109874",109874,2024-03-31,2.9,4.3,3.4,2.9,"Yes"
"S202403_107987",107987,2024-03-31,3.9,5,3.8,2.8,"Yes"
"S202403_108282",108282,2024-03-31,2.6,3.7,5,4,"Yes"
"S202403_104283",104283,2024-03-31,4.4,4.3,4,4.1,"Yes"
"S202403_104502",104502,2024-03-31,4,3.6,3.8,4.8,"Yes"
"S202403_108925",108925,2024-03-31,4.7,3.5,4.1,4.1,"Yes"
"S202403_106778",106778,2024-03-31,5,4,4.1,3.5,"Yes"
"S202403_108105",108105,2024-03-31,3.3,3.7,3.7,3.3,"Yes"
"S202403_101195",101195,2024-03-31,5,2.9,3.8,5,"Yes"
"S202403_107322",107322,2024-03-31,3.8,4.3,4.1,4.3,"Yes"
"S202403_104115",104115,2024-03-31,4.1,4.1,4.7,2.2,"Yes"
"S202403_101823",101823,2024-03-31,4,4.3,4.2,3.6,"Yes"
"S202403_103182",103182,2024-03-31,2.8,3.5,3.2,3,"Yes"
"S202403_108823",108823,2024-03-31,3.7,5,3.7,3.5,"Yes"
"S202403_105895",105895,2024-03-31,2.6,4.1,3.8,3.5,"Yes"
"S202403_104175",104175,2024-03-31,2.9,4,4.4,4,"Yes"
"S202403_108697",108697,2024-03-31,3.2,4.3,3.9,3.7,"Yes"
"S202403_101529",101529,2024-03-31,4.3,3.6,3.9,3.5,"Yes"
"S202403_102598",102598,2024-03-31,3.7,4.6,4.3,3.2,"Yes"
"S202403_106975",106975,2024-03-31,3.4,3.9,3.7,4.2,"Yes"
"S202403_109583",109583,2024-03-31,3.9,4,3.4,3.8,"Yes"
"S202403_104588",104588,2024-03-31,4.1,2.4,3.9,3.2,"Yes"
"S202403_103375",103375,2024-03-31,4.4,2.3,4,4.5,"Yes"
"S202403_104834",104834,2024-03-31,3.8,2.9,3.7,4.2,"Yes"
"S202403_101605",101605,2024-03-31,3.7,3.9,3.7,3.4,"Yes"
"S202403_105076",105076,2024-03-31,4,3.5,4.4,4.8,"Yes"
"S202403_102636",102636,2024-03-31,3.2,4.4,3.9,3.3,"Yes"
"S202403_107561",107561,2024-03-31,4.2,2.3,3.6,3.9,"Yes"
"S202403_106198",106198,2024-03-31,5,4.3,3.5,3.9,"Yes"
"S202403_109416",109416,2024-03-31,3.5,3.6,4.4,4.2,"Yes"
"S202403_104819",104819,2024-03-31,2.8,4.9,4,4.5,"Yes"
"S202403_107991",107991,2024-03-31,3,4.8,3.9,4.3,"Yes"
"S202403_103923",103923,2024-03-31,4.1,3.9,3.9,3,"Yes"
"S202403_105575",105575,2024-03-31,4.1,4.6,4.6,3.9,"Yes"
"S202403_104526",104526,2024-03-31,4.3,3.3,3.2,3,"Yes"
"S202403_109184",109184,2024-03-31,4.1,4,4.6,3.8,"Yes"
"S202403_103667",103667,2024-03-31,5,4.8,3.9,2.4,"Yes"
"S202403_107853",107853,2024-03-31,4.6,2.5,4,3.8,"Yes"
"S202403_105514",105514,2024-03-31,2.8,3.7,4,3.7,"Yes"
"S202403_106759",106759,2024-03-31,4,2.6,4.8,3.8,"Yes"
"S202403_105782",105782,2024-03-31,3.2,3.9,2.9,3.7,"Yes"
"S202403_100415",100415,2024-03-31,4.8,3.8,4,3.5,"Yes"
"S202403_102246",102246,2024-03-31,5,4.7,3.2,5,"Yes"
"S202403_107354",107354,2024-03-31,4.9,4.1,3.3,2.3,"Yes"
"S202403_101688",101688,2024-03-31,2.9,4.1,3.8,2.6,"Yes"
"S202403_101268",101268,2024-03-31,3.2,3.8,4.3,3,"Yes"
"S202403_107391",107391,2024-03-31,5,4.4,3.8,4.2,"Yes"
"S202403_105739",105739,2024-03-31,4.4,4.4,3.9,4.9,"Yes"
"S202403_109553",109553,2024-03-31,4.6,4,3.5,2.9,"Yes"
