"LeaveEventID","EmployeeID","LeaveType","LeaveStartDate","LeaveEndDate","LeaveDays","PaidFlag"
"LV107512_1",107512,"Sick Leave",2024-08-10,2024-08-13,4,"Yes"
"LV107512_2",107512,"Vacation",2025-04-16,2025-04-18,3,"Yes"
"LV107574_1",107574,"Vacation",2024-12-23,2024-12-26,4,"Yes"
"LV107574_2",107574,"Medical Leave",2025-10-12,2025-11-01,21,"No"
"LV104806_1",104806,"Sick Leave",2024-11-18,2024-11-19,2,"Yes"
"LV104806_2",104806,"Bereavement",2025-01-26,2025-01-27,2,"Yes"
"LV100397_1",100397,"Sick Leave",2025-06-14,2025-06-18,5,"Yes"
"LV101397_1",101397,"Medical Leave",2021-02-02,2021-03-03,30,"Yes"
"LV100414_1",100414,"Medical Leave",2014-01-19,2014-02-02,15,"Yes"
"LV106090_1",106090,"Vacation",2018-09-15,2018-09-22,8,"Yes"
"LV102813_1",102813,"Sick Leave",2020-01-24,2020-01-27,4,"Yes"
"LV103061_1",103061,"Sick Leave",2017-12-29,2018-01-01,4,"Yes"
"LV101584_1",101584,"Sick Leave",2020-02-22,2020-02-26,5,"Yes"
"LV102585_1",102585,"Medical Leave",2020-03-13,2020-03-25,13,"Yes"
"LV101467_1",101467,"Sick Leave",2024-02-10,2024-02-14,5,"Yes"
"LV108701_1",108701,"Sick Leave",2022-08-01,2022-08-01,1,"Yes"
"LV100622_1",100622,"Sick Leave",2017-02-25,2017-02-25,1,"Yes"
"LV100622_2",100622,"Sick Leave",2021-11-10,2021-11-12,3,"Yes"
"LV104579_1",104579,"Sick Leave",2020-07-07,2020-07-08,2,"Yes"
"LV104579_2",104579,"Vacation",2021-02-02,2021-02-08,7,"Yes"
"LV105276_1",105276,"Vacation",2017-11-11,2017-11-18,8,"Yes"
"LV103194_1",103194,"Sick Leave",2022-05-27,2022-05-31,5,"Yes"
"LV104092_1",104092,"Sick Leave",2025-07-08,2025-07-08,1,"Yes"
"LV100945_1",100945,"Medical Leave",2021-02-19,2021-03-18,28,"Yes"
"LV103406_1",103406,"Parental Leave",2019-03-23,2019-05-10,49,"No"
"LV103406_2",103406,"Vacation",2020-04-10,2020-04-18,9,"Yes"
"LV109595_1",109595,"Sick Leave",2017-03-30,2017-04-02,4,"Yes"
"LV108861_1",108861,"Sick Leave",2024-02-14,2024-02-14,1,"Yes"
"LV107384_1",107384,"Sick Leave",2023-06-24,2023-06-28,5,"Yes"
"LV109998_1",109998,"Parental Leave",2021-04-17,2021-06-15,60,"No"
"LV109042_1",109042,"Parental Leave",2022-03-13,2022-04-06,25,"Yes"
"LV106900_1",106900,"Sick Leave",2022-07-02,2022-07-04,3,"Yes"
"LV105496_1",105496,"Sick Leave",2020-05-02,2020-05-03,2,"Yes"
"LV105870_1",105870,"Vacation",2018-12-25,2018-12-30,6,"Yes"
"LV108471_1",108471,"Vacation",2023-07-14,2023-07-22,9,"Yes"
"LV100969_1",100969,"Vacation",2020-04-05,2020-04-06,2,"Yes"
"LV107233_1",107233,"Parental Leave",2024-07-08,2024-08-02,26,"Yes"
"LV109930_1",109930,"Vacation",2022-10-16,2022-10-25,10,"Yes"
"LV104962_1",104962,"Vacation",2025-06-08,2025-06-11,4,"Yes"
"LV107895_1",107895,"Sick Leave",2022-05-04,2022-05-04,1,"Yes"
"LV102224_1",102224,"Sick Leave",2025-07-07,2025-07-10,4,"Yes"
"LV106070_1",106070,"Parental Leave",2020-02-10,2020-03-04,24,"Yes"
"LV104162_1",104162,"Vacation",2023-09-17,2023-09-21,5,"Yes"
"LV109259_1",109259,"Sick Leave",2024-10-24,2024-10-25,2,"Yes"
"LV105851_1",105851,"Vacation",2023-01-16,2023-01-19,4,"Yes"
"LV108205_1",108205,"Vacation",2022-02-02,2022-02-09,8,"Yes"
"LV107692_1",107692,"Sick Leave",2023-02-28,2023-03-03,4,"Yes"
"LV107692_2",107692,"Vacation",2024-08-09,2024-08-11,3,"Yes"
"LV106389_1",106389,"Vacation",2022-08-30,2022-09-02,4,"Yes"
"LV104187_1",104187,"Vacation",2026-01-17,2026-01-25,9,"Yes"
"LV104364_1",104364,"Bereavement",2022-10-19,2022-10-23,5,"Yes"
"LV108292_1",108292,"Medical Leave",2025-01-05,2025-01-11,7,"No"
"LV107466_1",107466,"Sick Leave",2023-07-29,2023-08-01,4,"Yes"
"LV101117_1",101117,"Sick Leave",2023-03-06,2023-03-06,1,"Yes"
"LV101117_2",101117,"Vacation",2023-07-02,2023-07-07,6,"Yes"
"LV106717_1",106717,"Vacation",2023-11-22,2023-11-24,3,"Yes"
"LV104116_1",104116,"Vacation",2025-06-29,2025-07-05,7,"Yes"
"LV108916_1",108916,"Vacation",2025-05-07,2025-05-11,5,"Yes"
"LV102782_1",102782,"Sick Leave",2024-10-24,2024-10-28,5,"Yes"
"LV104210_1",104210,"Medical Leave",2025-03-29,2025-04-23,26,"No"
"LV107718_1",107718,"Medical Leave",2025-04-24,2025-05-02,9,"No"
"LV105703_1",105703,"Sick Leave",2024-07-17,2024-07-18,2,"Yes"
"LV105308_1",105308,"Bereavement",2026-02-03,2026-02-06,4,"Yes"
"LV109656_1",109656,"Vacation",2025-12-28,2025-12-29,2,"Yes"
"LV101694_1",101694,"Sick Leave",2025-07-20,2025-07-21,2,"Yes"
"LV103389_1",103389,"Sick Leave",2024-12-19,2024-12-20,2,"Yes"
"LV106705_1",106705,"Sick Leave",2025-09-07,2025-09-11,5,"Yes"
"LV106705_2",106705,"Vacation",2025-10-09,2025-10-10,2,"Yes"
"LV108691_1",108691,"Medical Leave",2025-11-29,2025-12-17,19,"No"
"LV107695_1",107695,"Jury Duty",2025-12-20,2025-12-25,6,"Yes"
"LV109030_1",109030,"Vacation",2017-12-25,2018-01-03,10,"Yes"
"LV109802_1",109802,"Vacation",2023-10-14,2023-10-15,2,"Yes"
"LV107199_1",107199,"Vacation",2023-01-22,2023-01-24,3,"Yes"
"LV106237_1",106237,"Jury Duty",2022-07-12,2022-07-18,7,"Yes"
"LV102832_1",102832,"Sick Leave",2017-02-04,2017-02-04,1,"Yes"
"LV107303_1",107303,"Parental Leave",2017-07-24,2017-09-17,56,"No"
"LV107453_1",107453,"Sick Leave",2019-09-03,2019-09-04,2,"Yes"
"LV107162_1",107162,"Sick Leave",2019-08-29,2019-08-29,1,"Yes"
"LV101720_1",101720,"Sick Leave",2020-08-28,2020-09-01,5,"Yes"
"LV106742_1",106742,"Sick Leave",2024-03-29,2024-03-31,3,"Yes"
"LV102861_1",102861,"Sick Leave",2022-01-05,2022-01-09,5,"Yes"
"LV103715_1",103715,"Sick Leave",2022-01-24,2022-01-24,1,"Yes"
"LV104924_1",104924,"Vacation",2026-01-03,2026-01-10,8,"Yes"
"LV108481_1",108481,"Sick Leave",2015-03-29,2015-04-02,5,"Yes"
"LV101487_1",101487,"Vacation",2019-12-16,2019-12-25,10,"Yes"
"LV101413_1",101413,"Vacation",2017-01-25,2017-01-31,7,"Yes"
"LV104664_1",104664,"Vacation",2023-07-16,2023-07-24,9,"Yes"
"LV105058_1",105058,"Medical Leave",2017-05-05,2017-05-11,7,"No"
"LV105520_1",105520,"Jury Duty",2022-10-28,2022-10-28,1,"Yes"
"LV109920_1",109920,"Medical Leave",2024-09-01,2024-09-27,27,"No"
"LV105926_1",105926,"Sick Leave",2023-08-16,2023-08-20,5,"Yes"
"LV104658_1",104658,"Medical Leave",2022-01-14,2022-01-18,5,"Yes"
"LV104658_2",104658,"Sick Leave",2022-01-24,2022-01-25,2,"Yes"
"LV109807_1",109807,"Jury Duty",2024-02-11,2024-02-16,6,"Yes"
"LV104158_1",104158,"Vacation",2025-12-17,2025-12-18,2,"Yes"
"LV105151_1",105151,"Medical Leave",2024-12-31,2025-02-02,34,"No"
"LV108940_1",108940,"Sick Leave",2024-07-30,2024-08-02,4,"Yes"
"LV108704_1",108704,"Sick Leave",2024-07-25,2024-07-28,4,"Yes"
"LV108704_2",108704,"Vacation",2025-02-17,2025-02-26,10,"Yes"
"LV103418_1",103418,"Vacation",2024-10-15,2024-10-21,7,"Yes"
"LV107405_1",107405,"Bereavement",2018-12-04,2018-12-05,2,"Yes"
"LV107304_1",107304,"Vacation",2020-07-11,2020-07-17,7,"Yes"
"LV102453_1",102453,"Parental Leave",2015-11-26,2016-01-15,51,"No"
"LV102401_1",102401,"Vacation",2024-10-14,2024-10-22,9,"Yes"
"LV105364_1",105364,"Parental Leave",2019-03-09,2019-05-07,60,"Yes"
"LV108581_1",108581,"Parental Leave",2025-06-22,2025-08-20,60,"Yes"
"LV101906_1",101906,"Sick Leave",2022-10-01,2022-10-03,3,"Yes"
"LV109432_1",109432,"Sick Leave",2023-03-22,2023-03-25,4,"Yes"
"LV109434_1",109434,"Vacation",2021-05-05,2021-05-10,6,"Yes"
"LV104313_1",104313,"Vacation",2023-06-07,2023-06-14,8,"Yes"
"LV100563_1",100563,"Vacation",2023-12-31,2024-01-02,3,"Yes"
"LV108454_1",108454,"Vacation",2025-07-03,2025-07-09,7,"Yes"
"LV103794_1",103794,"Vacation",2023-11-10,2023-11-17,8,"Yes"
"LV103125_1",103125,"Vacation",2025-02-22,2025-03-03,10,"Yes"
"LV106171_1",106171,"Sick Leave",2024-05-18,2024-05-20,3,"Yes"
"LV106171_2",106171,"Vacation",2025-08-21,2025-08-26,6,"Yes"
"LV103934_1",103934,"Vacation",2025-06-29,2025-07-02,4,"Yes"
"LV105026_1",105026,"Vacation",2024-09-28,2024-10-02,5,"Yes"
"LV106156_1",106156,"Vacation",2025-05-18,2025-05-23,6,"Yes"
"LV109787_1",109787,"Medical Leave",2026-01-05,2026-02-05,32,"Yes"
"LV103310_1",103310,"Vacation",2025-11-12,2025-11-17,6,"Yes"
"LV102818_1",102818,"Sick Leave",2026-01-30,2026-02-01,3,"Yes"
"LV102283_1",102283,"Bereavement",2025-04-24,2025-04-26,3,"Yes"
"LV109291_1",109291,"Vacation",2020-11-14,2020-11-23,10,"Yes"
"LV106106_1",106106,"Vacation",2026-01-26,2026-02-03,9,"Yes"
"LV103936_1",103936,"Jury Duty",2018-03-05,2018-03-11,7,"Yes"
"LV103936_2",103936,"Sick Leave",2024-08-19,2024-08-19,1,"Yes"
"LV107406_1",107406,"Vacation",2023-02-28,2023-03-06,7,"Yes"
"LV100492_1",100492,"Vacation",2023-08-11,2023-08-15,5,"Yes"
"LV101747_1",101747,"Sick Leave",2024-12-08,2024-12-08,1,"Yes"
"LV104540_1",104540,"Sick Leave",2025-06-04,2025-06-04,1,"Yes"
"LV103315_1",103315,"Vacation",2025-05-05,2025-05-13,9,"Yes"
"LV105268_1",105268,"Sick Leave",2025-12-26,2025-12-28,3,"Yes"
"LV103894_1",103894,"Vacation",2025-12-02,2025-12-08,7,"Yes"
"LV106337_1",106337,"Vacation",2019-05-02,2019-05-03,2,"Yes"
"LV106133_1",106133,"Sick Leave",2023-07-28,2023-07-29,2,"Yes"
"LV107440_1",107440,"Sick Leave",2016-02-28,2016-02-28,1,"Yes"
"LV108718_1",108718,"Bereavement",2020-04-18,2020-04-21,4,"Yes"
"LV104373_1",104373,"Sick Leave",2019-09-25,2019-09-28,4,"Yes"
"LV105483_1",105483,"Vacation",2014-11-22,2014-12-01,10,"Yes"
"LV106838_1",106838,"Sick Leave",2022-10-28,2022-10-29,2,"Yes"
"LV108142_1",108142,"Jury Duty",2021-05-09,2021-05-12,4,"Yes"
"LV105082_1",105082,"Sick Leave",2019-01-11,2019-01-14,4,"Yes"
"LV106000_1",106000,"Sick Leave",2018-02-03,2018-02-06,4,"Yes"
"LV106000_2",106000,"Medical Leave",2025-11-10,2025-12-02,23,"Yes"
"LV103501_1",103501,"Vacation",2023-08-26,2023-09-03,9,"Yes"
"LV103459_1",103459,"Vacation",2018-01-08,2018-01-16,9,"Yes"
"LV104573_1",104573,"Sick Leave",2018-03-16,2018-03-18,3,"Yes"
"LV104573_2",104573,"Vacation",2025-07-13,2025-07-15,3,"Yes"
"LV103425_1",103425,"Vacation",2022-12-17,2022-12-22,6,"Yes"
"LV104193_1",104193,"Sick Leave",2023-06-04,2023-06-05,2,"Yes"
"LV104751_1",104751,"Vacation",2019-10-01,2019-10-07,7,"Yes"
"LV101969_1",101969,"Sick Leave",2024-09-24,2024-09-25,2,"Yes"
"LV102197_1",102197,"Medical Leave",2018-12-29,2019-01-11,14,"No"
"LV104518_1",104518,"Vacation",2023-10-07,2023-10-10,4,"Yes"
"LV104284_1",104284,"Medical Leave",2024-10-15,2024-11-15,32,"Yes"
"LV100044_1",100044,"Vacation",2025-03-30,2025-04-06,8,"Yes"
"LV103552_1",103552,"Sick Leave",2025-10-25,2025-10-28,4,"Yes"
"LV100864_1",100864,"Medical Leave",2023-10-24,2023-11-23,31,"No"
"LV100401_1",100401,"Parental Leave",2023-07-27,2023-08-29,34,"Yes"
"LV100401_2",100401,"Sick Leave",2025-01-05,2025-01-05,1,"Yes"
"LV108256_1",108256,"Vacation",2025-01-29,2025-01-30,2,"Yes"
"LV103260_1",103260,"Bereavement",2024-10-16,2024-10-17,2,"Yes"
"LV105447_1",105447,"Vacation",2025-09-09,2025-09-14,6,"Yes"
"LV105447_2",105447,"Sick Leave",2025-11-11,2025-11-15,5,"Yes"
"LV107595_1",107595,"Sick Leave",2024-04-11,2024-04-12,2,"Yes"
"LV107595_2",107595,"Jury Duty",2025-06-30,2025-06-30,1,"Yes"
"LV108709_1",108709,"Sick Leave",2025-05-30,2025-06-03,5,"Yes"
"LV108893_1",108893,"Parental Leave",2025-12-19,2026-02-13,57,"No"
"LV106772_1",106772,"Sick Leave",2025-09-18,2025-09-19,2,"Yes"
"LV108997_1",108997,"Vacation",2016-09-30,2016-10-09,10,"Yes"
"LV107751_1",107751,"Parental Leave",2014-08-08,2014-09-12,36,"Yes"
"LV100751_1",100751,"Vacation",2020-07-07,2020-07-09,3,"Yes"
"LV100751_2",100751,"Vacation",2023-04-22,2023-04-26,5,"Yes"
"LV102464_1",102464,"Sick Leave",2022-08-28,2022-08-29,2,"Yes"
"LV109375_1",109375,"Vacation",2019-05-18,2019-05-24,7,"Yes"
"LV109535_1",109535,"Vacation",2023-04-08,2023-04-15,8,"Yes"
"LV105659_1",105659,"Sick Leave",2023-05-23,2023-05-26,4,"Yes"
"LV107581_1",107581,"Medical Leave",2018-06-04,2018-06-29,26,"Yes"
"LV107581_2",107581,"Vacation",2023-06-11,2023-06-13,3,"Yes"
"LV102094_1",102094,"Medical Leave",2017-11-28,2017-12-19,22,"No"
"LV107048_1",107048,"Sick Leave",2018-10-09,2018-10-10,2,"Yes"
"LV108268_1",108268,"Medical Leave",2020-06-04,2020-06-16,13,"No"
"LV100086_1",100086,"Sick Leave",2021-03-05,2021-03-06,2,"Yes"
"LV101363_1",101363,"Sick Leave",2020-12-09,2020-12-09,1,"Yes"
"LV102630_1",102630,"Jury Duty",2023-05-17,2023-05-18,2,"Yes"
"LV103301_1",103301,"Jury Duty",2022-04-05,2022-04-06,2,"Yes"
"LV100636_1",100636,"Parental Leave",2025-04-26,2025-06-04,40,"No"
"LV106965_1",106965,"Sick Leave",2021-05-12,2021-05-15,4,"Yes"
"LV105048_1",105048,"Vacation",2024-03-12,2024-03-20,9,"Yes"
"LV107607_1",107607,"Jury Duty",2024-10-02,2024-10-09,8,"Yes"
"LV107078_1",107078,"Sick Leave",2023-01-20,2023-01-20,1,"Yes"
"LV109995_1",109995,"Vacation",2020-10-24,2020-10-26,3,"Yes"
"LV105816_1",105816,"Parental Leave",2023-11-28,2024-01-04,38,"Yes"
"LV105346_1",105346,"Bereavement",2025-01-20,2025-01-23,4,"Yes"
"LV109052_1",109052,"Vacation",2023-07-03,2023-07-06,4,"Yes"
"LV109487_1",109487,"Medical Leave",2021-10-24,2021-11-22,30,"No"
"LV107640_1",107640,"Vacation",2023-01-05,2023-01-06,2,"Yes"
"LV103646_1",103646,"Vacation",2022-02-12,2022-02-17,6,"Yes"
"LV103646_2",103646,"Vacation",2022-07-04,2022-07-10,7,"Yes"
"LV109266_1",109266,"Vacation",2022-10-15,2022-10-21,7,"Yes"
"LV104611_1",104611,"Vacation",2024-01-10,2024-01-18,9,"Yes"
"LV106058_1",106058,"Vacation",2025-03-19,2025-03-26,8,"Yes"
"LV100847_1",100847,"Parental Leave",2023-10-04,2023-10-31,28,"Yes"
"LV100283_1",100283,"Jury Duty",2023-12-02,2023-12-03,2,"Yes"
"LV100747_1",100747,"Vacation",2024-05-19,2024-05-25,7,"Yes"
"LV106711_1",106711,"Sick Leave",2025-03-01,2025-03-01,1,"Yes"
"LV105371_1",105371,"Vacation",2025-02-23,2025-02-27,5,"Yes"
"LV108147_1",108147,"Sick Leave",2025-10-08,2025-10-12,5,"Yes"
"LV100464_1",100464,"Bereavement",2025-10-05,2025-10-08,4,"Yes"
"LV106265_1",106265,"Jury Duty",2026-01-09,2026-01-13,5,"Yes"
"LV109227_1",109227,"Vacation",2025-09-30,2025-10-03,4,"Yes"
"LV100342_1",100342,"Vacation",2017-05-04,2017-05-07,4,"Yes"
"LV100342_2",100342,"Jury Duty",2023-12-04,2023-12-10,7,"Yes"
"LV106956_1",106956,"Vacation",2015-10-06,2015-10-12,7,"Yes"
"LV109379_1",109379,"Vacation",2024-07-21,2024-07-28,8,"Yes"
"LV105881_1",105881,"Sick Leave",2016-10-25,2016-10-25,1,"Yes"
"LV105620_1",105620,"Jury Duty",2022-01-26,2022-01-27,2,"Yes"
"LV109061_1",109061,"Medical Leave",2018-11-03,2018-11-18,16,"Yes"
"LV103838_1",103838,"Jury Duty",2018-03-25,2018-04-01,8,"Yes"
"LV100929_1",100929,"Vacation",2021-05-18,2021-05-20,3,"Yes"
"LV105344_1",105344,"Vacation",2020-11-11,2020-11-14,4,"Yes"
"LV105632_1",105632,"Vacation",2022-10-25,2022-10-26,2,"Yes"
"LV105692_1",105692,"Vacation",2023-05-05,2023-05-06,2,"Yes"
"LV105054_1",105054,"Vacation",2023-11-19,2023-11-23,5,"Yes"
"LV107811_1",107811,"Vacation",2019-12-15,2019-12-17,3,"Yes"
"LV101814_1",101814,"Sick Leave",2021-07-12,2021-07-14,3,"Yes"
"LV102099_1",102099,"Jury Duty",2020-05-20,2020-05-24,5,"Yes"
"LV100761_1",100761,"Medical Leave",2022-05-05,2022-05-18,14,"Yes"
"LV106542_1",106542,"Vacation",2018-04-29,2018-05-03,5,"Yes"
"LV106542_2",106542,"Jury Duty",2023-08-02,2023-08-02,1,"Yes"
"LV104657_1",104657,"Parental Leave",2021-06-12,2021-08-07,57,"Yes"
"LV109129_1",109129,"Vacation",2019-08-02,2019-08-10,9,"Yes"
"LV109129_2",109129,"Jury Duty",2022-02-08,2022-02-15,8,"Yes"
"LV101041_1",101041,"Vacation",2018-05-14,2018-05-19,6,"Yes"
"LV109927_1",109927,"Sick Leave",2020-06-14,2020-06-14,1,"Yes"
"LV101826_1",101826,"Vacation",2018-06-03,2018-06-06,4,"Yes"
"LV105420_1",105420,"Vacation",2024-03-06,2024-03-12,7,"Yes"
"LV105420_2",105420,"Sick Leave",2024-12-15,2024-12-16,2,"Yes"
"LV106229_1",106229,"Sick Leave",2021-09-19,2021-09-21,3,"Yes"
"LV104548_1",104548,"Parental Leave",2018-11-28,2018-12-29,32,"Yes"
"LV105004_1",105004,"Sick Leave",2025-10-01,2025-10-05,5,"Yes"
"LV107023_1",107023,"Sick Leave",2021-12-07,2021-12-11,5,"Yes"
"LV107778_1",107778,"Sick Leave",2025-06-28,2025-07-01,4,"Yes"
"LV108855_1",108855,"Sick Leave",2025-04-21,2025-04-21,1,"Yes"
"LV101594_1",101594,"Vacation",2024-04-13,2024-04-17,5,"Yes"
"LV108660_1",108660,"Sick Leave",2022-07-12,2022-07-15,4,"Yes"
"LV102961_1",102961,"Sick Leave",2023-01-27,2023-01-30,4,"Yes"
"LV104655_1",104655,"Sick Leave",2023-03-25,2023-03-29,5,"Yes"
"LV107533_1",107533,"Jury Duty",2025-09-02,2025-09-04,3,"Yes"
"LV102129_1",102129,"Vacation",2022-06-14,2022-06-16,3,"Yes"
"LV106203_1",106203,"Medical Leave",2020-01-29,2020-02-22,25,"Yes"
"LV102008_1",102008,"Vacation",2025-05-12,2025-05-21,10,"Yes"
"LV100083_1",100083,"Sick Leave",2023-05-06,2023-05-09,4,"Yes"
"LV100521_1",100521,"Medical Leave",2025-02-19,2025-03-06,16,"Yes"
"LV108110_1",108110,"Parental Leave",2023-07-31,2023-09-17,49,"No"
"LV103542_1",103542,"Jury Duty",2023-04-18,2023-04-22,5,"Yes"
"LV105854_1",105854,"Sick Leave",2022-12-09,2022-12-09,1,"Yes"
"LV104507_1",104507,"Vacation",2024-11-02,2024-11-08,7,"Yes"
"LV107455_1",107455,"Vacation",2022-06-26,2022-07-05,10,"Yes"
"LV103776_1",103776,"Sick Leave",2021-07-21,2021-07-23,3,"Yes"
"LV108236_1",108236,"Medical Leave",2022-09-20,2022-09-28,9,"No"
"LV100886_1",100886,"Sick Leave",2025-04-20,2025-04-24,5,"Yes"
"LV102062_1",102062,"Bereavement",2024-04-20,2024-04-24,5,"Yes"
"LV100300_1",100300,"Jury Duty",2024-07-19,2024-07-22,4,"Yes"
