"ReviewID","EmployeeID","ReviewDate","PerformanceRating","PotentialRating","GoalCompletionPct","MeritIncreasePct","PromotionRecommended"
"R2023_105201",105201,2023-12-31,3,3,98,0.021,"No"
"R2023_105179",105179,2023-12-31,4,3,93,0.041,"No"
"R2023_104987",104987,2023-12-31,3,3,83,0.023,"No"
"R2023_102671",102671,2023-12-31,3,3,100,0.011,"No"
"R2023_104483",104483,2023-12-31,3,4,95,0.026,"No"
"R2023_103393",103393,2023-12-31,3,3,83,0.023,"No"
"R2023_100815",100815,2023-12-31,4,3,94,0.037,"No"
"R2023_104635",104635,2023-12-31,4,3,100,0.045,"No"
"R2023_107318",107318,2023-12-31,4,3,83,0.041,"No"
"R2023_108453",108453,2023-12-31,4,3,100,0.037,"No"
"R2023_107228",107228,2023-12-31,3,2,100,0.019,"No"
"R2023_102015",102015,2023-12-31,4,3,100,0.03,"No"
"R2023_105695",105695,2023-12-31,4,2,69,0.042,"No"
"R2023_105923",105923,2023-12-31,4,3,100,0.044,"No"
"R2023_100912",100912,2023-12-31,4,4,99,0.044,"No"
"R2023_109477",109477,2023-12-31,4,4,96,0.032,"No"
"R2023_100733",100733,2023-12-31,4,3,92,0.043,"No"
"R2023_104188",104188,2023-12-31,4,2,94,0.031,"No"
"R2023_107970",107970,2023-12-31,3,4,92,0.017,"No"
"R2023_102372",102372,2023-12-31,4,3,87,0.03,"No"
"R2023_106988",106988,2023-12-31,4,3,93,0.043,"No"
"R2023_106311",106311,2023-12-31,3,3,93,0.028,"No"
"R2023_108760",108760,2023-12-31,3,4,76,0.015,"No"
"R2023_104697",104697,2023-12-31,2,4,59,0.002,"No"
"R2023_108255",108255,2023-12-31,3,3,60,0.027,"No"
"R2023_100367",100367,2023-12-31,4,4,77,0.039,"No"
"R2023_108213",108213,2023-12-31,4,3,82,0.045,"No"
"R2023_106125",106125,2023-12-31,3,3,85,0.013,"No"
"R2023_101454",101454,2023-12-31,4,3,74,0.033,"No"
"R2023_105938",105938,2023-12-31,3,2,71,0.015,"No"
"R2023_105833",105833,2023-12-31,5,2,75,0.073,"No"
"R2023_104784",104784,2023-12-31,2,4,74,0.01,"No"
"R2023_109913",109913,2023-12-31,4,4,85,0.047,"No"
"R2023_100187",100187,2023-12-31,3,2,47,0.021,"No"
"R2023_107324",107324,2023-12-31,2,3,90,0.005,"No"
"R2023_102897",102897,2023-12-31,4,5,100,0.039,"No"
"R2023_102687",102687,2023-12-31,4,4,57,0.048,"No"
"R2023_104192",104192,2023-12-31,4,3,77,0.039,"No"
"R2023_102847",102847,2023-12-31,3,3,72,0.025,"No"
"R2023_104248",104248,2023-12-31,2,4,76,0.004,"No"
"R2023_109711",109711,2023-12-31,4,4,72,0.046,"No"
"R2023_107704",107704,2023-12-31,3,3,88,0.024,"No"
"R2023_101876",101876,2023-12-31,4,2,87,0.048,"No"
"R2023_106678",106678,2023-12-31,4,3,100,0.04,"No"
"R2023_106985",106985,2023-12-31,3,4,97,0.027,"No"
"R2023_100939",100939,2023-12-31,5,3,78,0.056,"No"
"R2023_104646",104646,2023-12-31,3,4,79,0.02,"No"
"R2023_105917",105917,2023-12-31,4,3,73,0.035,"No"
"R2023_107338",107338,2023-12-31,2,3,78,0,"No"
"R2023_103440",103440,2023-12-31,3,3,100,0.029,"No"
"R2023_100168",100168,2023-12-31,3,3,74,0.019,"No"
"R2023_106642",106642,2023-12-31,4,5,100,0.032,"No"
"R2023_100597",100597,2023-12-31,4,3,77,0.031,"No"
"R2023_103114",103114,2023-12-31,5,3,99,0.057,"No"
"R2023_100606",100606,2023-12-31,2,3,91,0.008,"No"
"R2023_101842",101842,2023-12-31,2,3,100,0.007,"No"
"R2023_106434",106434,2023-12-31,3,3,100,0.018,"No"
"R2023_107600",107600,2023-12-31,4,5,76,0.047,"No"
"R2023_100451",100451,2023-12-31,5,3,73,0.078,"No"
"R2023_109762",109762,2023-12-31,4,3,72,0.048,"No"
"R2023_103948",103948,2023-12-31,3,4,86,0.015,"No"
"R2023_108746",108746,2023-12-31,4,4,92,0.039,"No"
"R2023_109793",109793,2023-12-31,3,4,92,0.012,"No"
"R2023_104867",104867,2023-12-31,3,3,88,0.029,"No"
"R2023_102329",102329,2023-12-31,3,4,81,0.025,"No"
"R2023_109079",109079,2023-12-31,4,3,99,0.048,"No"
"R2023_102775",102775,2023-12-31,3,4,100,0.015,"No"
"R2023_105211",105211,2023-12-31,3,2,79,0.027,"No"
"R2023_105339",105339,2023-12-31,3,3,81,0.012,"No"
"R2023_108962",108962,2023-12-31,4,3,91,0.042,"No"
"R2023_106436",106436,2023-12-31,3,4,99,0.019,"No"
"R2023_104986",104986,2023-12-31,4,4,87,0.049,"No"
"R2023_100732",100732,2023-12-31,4,4,92,0.037,"No"
"R2023_103462",103462,2023-12-31,4,3,89,0.036,"No"
"R2023_102240",102240,2023-12-31,2,4,82,0.007,"No"
"R2023_101887",101887,2023-12-31,4,4,100,0.048,"No"
"R2023_104513",104513,2023-12-31,4,3,89,0.031,"No"
"R2023_104341",104341,2023-12-31,3,2,87,0.017,"No"
"R2023_109145",109145,2023-12-31,3,4,100,0.014,"No"
"R2023_102222",102222,2023-12-31,4,3,100,0.04,"No"
"R2023_106151",106151,2023-12-31,2,4,76,0.007,"No"
"R2023_104433",104433,2023-12-31,3,4,73,0.024,"No"
"R2023_102505",102505,2023-12-31,3,2,100,0.02,"No"
"R2023_105948",105948,2023-12-31,2,3,73,0.008,"No"
"R2023_106361",106361,2023-12-31,5,3,68,0.063,"No"
"R2023_102260",102260,2023-12-31,2,4,83,0.003,"No"
"R2023_105486",105486,2023-12-31,3,3,99,0.011,"No"
"R2023_107802",107802,2023-12-31,4,3,96,0.043,"No"
"R2023_104523",104523,2023-12-31,3,2,67,0.018,"No"
"R2023_103761",103761,2023-12-31,4,3,88,0.042,"No"
"R2023_109900",109900,2023-12-31,4,5,71,0.047,"No"
"R2023_103378",103378,2023-12-31,4,3,40,0.035,"No"
"R2023_105280",105280,2023-12-31,4,4,73,0.04,"No"
"R2023_106071",106071,2023-12-31,4,3,72,0.036,"No"
"R2023_107832",107832,2023-12-31,4,4,90,0.045,"No"
"R2023_103446",103446,2023-12-31,3,4,100,0.016,"No"
"R2023_107383",107383,2023-12-31,2,3,100,0.005,"No"
"R2023_105437",105437,2023-12-31,3,5,80,0.025,"No"
"R2023_102063",102063,2023-12-31,4,3,81,0.048,"No"
"R2023_107165",107165,2023-12-31,4,3,100,0.044,"No"
"R2023_109660",109660,2023-12-31,5,3,99,0.064,"No"
"R2023_101074",101074,2023-12-31,3,1,82,0.015,"No"
"R2023_108902",108902,2023-12-31,4,5,88,0.045,"No"
"R2023_101099",101099,2023-12-31,4,4,76,0.035,"No"
"R2023_100596",100596,2023-12-31,4,2,100,0.034,"No"
"R2023_105614",105614,2023-12-31,4,4,70,0.037,"No"
"R2023_105349",105349,2023-12-31,4,3,85,0.046,"No"
"R2023_108499",108499,2023-12-31,3,4,75,0.022,"No"
"R2023_102698",102698,2023-12-31,3,3,76,0.017,"No"
"R2023_104409",104409,2023-12-31,3,4,100,0.012,"No"
"R2023_103434",103434,2023-12-31,4,3,80,0.032,"No"
"R2023_106650",106650,2023-12-31,4,3,100,0.041,"No"
"R2023_100790",100790,2023-12-31,3,3,84,0.018,"No"
"R2023_108976",108976,2023-12-31,2,3,94,0.004,"No"
"R2023_106515",106515,2023-12-31,3,4,88,0.028,"No"
"R2023_108781",108781,2023-12-31,4,4,60,0.046,"No"
"R2023_104786",104786,2023-12-31,5,3,100,0.054,"No"
"R2023_104207",104207,2023-12-31,3,4,88,0.027,"No"
"R2023_104428",104428,2023-12-31,3,3,100,0.027,"No"
"R2023_100080",100080,2023-12-31,2,4,70,0.006,"No"
"R2023_107537",107537,2023-12-31,4,2,97,0.048,"No"
"R2023_104161",104161,2023-12-31,5,3,100,0.05,"No"
"R2023_106543",106543,2023-12-31,4,4,68,0.047,"No"
"R2023_100406",100406,2023-12-31,4,4,97,0.049,"No"
"R2023_109878",109878,2023-12-31,3,5,79,0.03,"No"
"R2023_103904",103904,2023-12-31,2,3,77,0.001,"No"
"R2023_101172",101172,2023-12-31,5,4,95,0.056,"No"
"R2023_103402",103402,2023-12-31,3,4,76,0.02,"No"
"R2023_106423",106423,2023-12-31,3,2,87,0.015,"No"
"R2023_107247",107247,2023-12-31,4,1,73,0.034,"No"
"R2023_103159",103159,2023-12-31,4,5,75,0.032,"No"
"R2023_104813",104813,2023-12-31,5,5,81,0.063,"No"
"R2023_102814",102814,2023-12-31,3,2,89,0.011,"No"
"R2023_101653",101653,2023-12-31,4,3,74,0.042,"No"
"R2023_101715",101715,2023-12-31,5,3,83,0.07,"No"
"R2023_108720",108720,2023-12-31,3,5,100,0.02,"No"
"R2023_101339",101339,2023-12-31,3,4,89,0.016,"No"
"R2023_108500",108500,2023-12-31,3,5,70,0.027,"No"
"R2023_108238",108238,2023-12-31,2,3,95,0.007,"No"
"R2023_103382",103382,2023-12-31,4,3,100,0.033,"No"
"R2023_101175",101175,2023-12-31,3,3,85,0.019,"No"
"R2023_105315",105315,2023-12-31,4,3,88,0.032,"No"
"R2023_101853",101853,2023-12-31,3,5,92,0.017,"No"
"R2023_109664",109664,2023-12-31,5,3,67,0.057,"No"
"R2023_107918",107918,2023-12-31,3,3,67,0.026,"No"
"R2023_106601",106601,2023-12-31,4,1,70,0.035,"No"
"R2023_108837",108837,2023-12-31,4,5,100,0.036,"No"
"R2023_108194",108194,2023-12-31,5,4,100,0.06,"No"
"R2023_103622",103622,2023-12-31,2,5,75,0.009,"No"
"R2023_105880",105880,2023-12-31,4,3,82,0.039,"No"
"R2023_107878",107878,2023-12-31,2,4,72,0.003,"No"
"R2023_104424",104424,2023-12-31,3,3,79,0.014,"No"
"R2023_103563",103563,2023-12-31,3,4,82,0.017,"No"
"R2023_107884",107884,2023-12-31,4,4,92,0.038,"No"
"R2023_105314",105314,2023-12-31,4,3,56,0.032,"No"
"R2023_100055",100055,2023-12-31,3,3,54,0.021,"No"
"R2023_103116",103116,2023-12-31,4,3,67,0.031,"No"
"R2023_109804",109804,2023-12-31,3,3,100,0.019,"No"
"R2023_105005",105005,2023-12-31,4,3,96,0.039,"No"
"R2023_106558",106558,2023-12-31,4,2,68,0.045,"No"
"R2023_108683",108683,2023-12-31,4,2,78,0.046,"No"
"R2023_108844",108844,2023-12-31,3,3,86,0.015,"No"
"R2023_107733",107733,2023-12-31,4,3,85,0.033,"No"
"R2023_107037",107037,2023-12-31,4,2,93,0.041,"No"
"R2023_109489",109489,2023-12-31,2,3,76,0.001,"No"
"R2023_107127",107127,2023-12-31,3,4,67,0.015,"No"
"R2023_100221",100221,2023-12-31,3,2,100,0.012,"No"
"R2023_101564",101564,2023-12-31,3,5,100,0.022,"No"
"R2023_106220",106220,2023-12-31,3,3,96,0.016,"No"
"R2023_107665",107665,2023-12-31,2,4,70,0.001,"No"
"R2023_103372",103372,2023-12-31,3,4,83,0.02,"No"
"R2023_102848",102848,2023-12-31,4,3,80,0.04,"No"
"R2023_109881",109881,2023-12-31,5,3,100,0.071,"No"
"R2023_107132",107132,2023-12-31,3,2,69,0.015,"No"
"R2023_107227",107227,2023-12-31,4,3,83,0.044,"No"
"R2023_100438",100438,2023-12-31,3,2,59,0.013,"No"
"R2023_104992",104992,2023-12-31,3,2,92,0.013,"No"
"R2023_109507",109507,2023-12-31,3,5,100,0.022,"No"
"R2023_103600",103600,2023-12-31,4,2,63,0.046,"No"
"R2023_109849",109849,2023-12-31,4,4,77,0.031,"No"
"R2023_105598",105598,2023-12-31,3,4,98,0.014,"No"
"R2023_100070",100070,2023-12-31,4,3,100,0.034,"No"
"R2023_106958",106958,2023-12-31,5,4,98,0.057,"No"
"R2023_104401",104401,2023-12-31,2,3,91,0.007,"No"
"R2023_105974",105974,2023-12-31,3,3,94,0.013,"No"
"R2023_109874",109874,2023-12-31,4,4,88,0.04,"No"
"R2023_107987",107987,2023-12-31,3,2,85,0.029,"No"
"R2023_108282",108282,2023-12-31,3,2,47,0.025,"No"
"R2023_104283",104283,2023-12-31,3,3,95,0.011,"No"
"R2023_104502",104502,2023-12-31,4,2,72,0.039,"No"
"R2023_108925",108925,2023-12-31,4,2,90,0.034,"No"
"R2023_106778",106778,2023-12-31,4,3,68,0.031,"No"
"R2023_108105",108105,2023-12-31,4,3,91,0.03,"No"
"R2023_101195",101195,2023-12-31,4,4,48,0.035,"No"
"R2023_107322",107322,2023-12-31,2,3,91,0.007,"No"
"R2023_104115",104115,2023-12-31,2,4,100,0.003,"No"
"R2023_105895",105895,2023-12-31,3,3,91,0.011,"No"
"R2023_109954",109954,2023-12-31,4,2,78,0.048,"No"
"R2023_104175",104175,2023-12-31,5,2,55,0.051,"No"
"R2023_108697",108697,2023-12-31,4,3,86,0.05,"No"
"R2023_101529",101529,2023-12-31,3,3,83,0.027,"No"
"R2023_102598",102598,2023-12-31,3,4,62,0.023,"No"
"R2023_106975",106975,2023-12-31,3,3,97,0.022,"No"
"R2023_109583",109583,2023-12-31,2,4,96,0.009,"No"
"R2023_104588",104588,2023-12-31,3,4,73,0.011,"No"
"R2023_103375",103375,2023-12-31,3,4,76,0.015,"No"
"R2023_104834",104834,2023-12-31,1,3,79,0,"No"
"R2023_101605",101605,2023-12-31,4,3,96,0.044,"No"
"R2023_105076",105076,2023-12-31,3,2,100,0.028,"No"
"R2023_102636",102636,2023-12-31,3,2,85,0.016,"No"
"R2023_107561",107561,2023-12-31,3,3,64,0.01,"No"
"R2023_106198",106198,2023-12-31,3,4,71,0.013,"No"
"R2023_109416",109416,2023-12-31,4,3,56,0.032,"No"
"R2023_104819",104819,2023-12-31,2,4,80,0.008,"No"
"R2023_107991",107991,2023-12-31,4,2,90,0.036,"No"
"R2023_103923",103923,2023-12-31,3,4,100,0.019,"No"
"R2023_105575",105575,2023-12-31,3,2,100,0.011,"No"
"R2023_104526",104526,2023-12-31,4,4,100,0.045,"No"
"R2023_109184",109184,2023-12-31,3,4,61,0.016,"No"
"R2023_103667",103667,2023-12-31,4,3,81,0.035,"No"
"R2023_102864",102864,2023-12-31,4,4,83,0.043,"No"
"R2023_107853",107853,2023-12-31,3,3,82,0.018,"No"
"R2023_105514",105514,2023-12-31,4,3,84,0.033,"No"
"R2023_106759",106759,2023-12-31,4,3,80,0.035,"No"
"R2023_105782",105782,2023-12-31,4,4,76,0.042,"No"
"R2023_100415",100415,2023-12-31,3,3,93,0.03,"No"
"R2023_102246",102246,2023-12-31,2,4,97,0.003,"No"
"R2023_107354",107354,2023-12-31,5,3,69,0.061,"No"
"R2023_101688",101688,2023-12-31,2,4,92,0.001,"No"
"R2023_101859",101859,2023-12-31,4,3,86,0.049,"No"
"R2023_101268",101268,2023-12-31,3,3,80,0.024,"No"
"R2023_107391",107391,2023-12-31,3,3,79,0.027,"No"
"R2023_105739",105739,2023-12-31,4,2,77,0.036,"No"
"R2023_109553",109553,2023-12-31,4,3,100,0.032,"No"
"R2023_102661",102661,2023-12-31,4,3,91,0.045,"No"
"R2023_104933",104933,2023-12-31,3,4,82,0.029,"No"
"R2023_105131",105131,2023-12-31,3,3,95,0.017,"No"
"R2023_100010",100010,2023-12-31,3,4,100,0.03,"No"
"R2023_105642",105642,2023-12-31,2,3,95,0.002,"No"
"R2023_105158",105158,2023-12-31,4,3,100,0.04,"No"
"R2023_107273",107273,2023-12-31,2,4,100,0.006,"No"
"R2023_100404",100404,2023-12-31,2,3,100,0.001,"No"
"R2023_101828",101828,2023-12-31,4,2,100,0.043,"No"
"R2023_108597",108597,2023-12-31,2,3,95,0.003,"No"
"R2023_101027",101027,2023-12-31,3,3,60,0.028,"No"
"R2023_109310",109310,2023-12-31,4,4,81,0.042,"No"
"R2023_109723",109723,2023-12-31,4,2,93,0.048,"No"
"R2023_103789",103789,2023-12-31,3,3,83,0.017,"No"
"R2023_101630",101630,2023-12-31,3,2,81,0.028,"No"
"R2023_104244",104244,2023-12-31,4,3,62,0.042,"No"
"R2023_101687",101687,2023-12-31,3,3,99,0.016,"No"
"R2023_108931",108931,2023-12-31,5,5,51,0.072,"No"
"R2023_104416",104416,2023-12-31,4,4,100,0.031,"No"
"R2023_107944",107944,2023-12-31,3,3,65,0.014,"No"
"R2023_101631",101631,2023-12-31,1,4,89,0,"No"
"R2023_107819",107819,2023-12-31,3,4,73,0.015,"No"
"R2023_106920",106920,2023-12-31,5,3,96,0.059,"No"
"R2023_101167",101167,2023-12-31,5,2,76,0.054,"No"
"R2023_107022",107022,2023-12-31,5,4,88,0.074,"No"
"R2023_104220",104220,2023-12-31,5,3,58,0.061,"No"
"R2023_108620",108620,2023-12-31,4,4,67,0.05,"No"
"R2023_103722",103722,2023-12-31,4,2,78,0.042,"No"
"R2023_109527",109527,2023-12-31,2,3,93,0.007,"No"
"R2023_103887",103887,2023-12-31,2,3,93,0.01,"No"
"R2023_108820",108820,2023-12-31,2,4,95,0.004,"No"
"R2023_101543",101543,2023-12-31,3,4,50,0.027,"No"
"R2023_106905",106905,2023-12-31,4,2,92,0.036,"No"
"R2023_104561",104561,2023-12-31,4,4,100,0.046,"No"
"R2023_109313",109313,2023-12-31,3,3,75,0.024,"No"
"R2023_104050",104050,2023-12-31,5,2,70,0.08,"No"
"R2023_109097",109097,2023-12-31,3,4,100,0.017,"No"
"R2023_100545",100545,2023-12-31,4,3,79,0.045,"No"
"R2023_109331",109331,2023-12-31,4,2,99,0.046,"No"
"R2023_103328",103328,2023-12-31,3,4,94,0.019,"No"
"R2023_103428",103428,2023-12-31,4,4,74,0.035,"No"
"R2023_106676",106676,2023-12-31,3,2,67,0.021,"No"
"R2023_103625",103625,2023-12-31,3,3,81,0.02,"No"
"R2023_105374",105374,2023-12-31,4,1,77,0.032,"No"
"R2023_108371",108371,2023-12-31,3,1,64,0.021,"No"
"R2023_105983",105983,2023-12-31,4,3,73,0.042,"No"
"R2023_109865",109865,2023-12-31,3,2,61,0.018,"No"
"R2023_101071",101071,2023-12-31,3,3,91,0.024,"No"
"R2023_109122",109122,2023-12-31,3,3,100,0.022,"No"
"R2023_100820",100820,2023-12-31,3,5,99,0.029,"No"
"R2023_103818",103818,2023-12-31,4,5,81,0.032,"No"
"R2023_103416",103416,2023-12-31,4,3,91,0.03,"No"
"R2023_103691",103691,2023-12-31,5,3,99,0.056,"No"
"R2023_103050",103050,2023-12-31,3,4,46,0.023,"No"
"R2023_108919",108919,2023-12-31,4,2,83,0.046,"No"
"R2023_101209",101209,2023-12-31,3,3,75,0.027,"No"
"R2023_107090",107090,2023-12-31,3,4,84,0.028,"No"
"R2023_101360",101360,2023-12-31,3,3,51,0.013,"No"
"R2023_105476",105476,2023-12-31,3,4,86,0.025,"No"
"R2023_107693",107693,2023-12-31,3,3,100,0.027,"No"
"R2023_101521",101521,2023-12-31,4,4,65,0.037,"No"
"R2023_104555",104555,2023-12-31,2,4,97,0.007,"No"
"R2023_106758",106758,2023-12-31,5,3,80,0.056,"No"
"R2023_102735",102735,2023-12-31,3,2,79,0.024,"No"
"R2023_101130",101130,2023-12-31,4,4,100,0.033,"No"
"R2023_102844",102844,2023-12-31,3,2,71,0.024,"No"
"R2023_109844",109844,2023-12-31,3,5,94,0.022,"No"
"R2023_108260",108260,2023-12-31,4,2,57,0.035,"No"
"R2023_109960",109960,2023-12-31,4,4,64,0.036,"No"
"R2023_104238",104238,2023-12-31,4,3,95,0.043,"No"
"R2023_101217",101217,2023-12-31,3,3,68,0.022,"No"
"R2023_104880",104880,2023-12-31,3,3,76,0.028,"No"
"R2023_106095",106095,2023-12-31,4,3,95,0.043,"No"
"R2023_101771",101771,2023-12-31,4,2,60,0.047,"No"
"R2023_102294",102294,2023-12-31,3,3,91,0.028,"No"
"R2023_106105",106105,2023-12-31,4,2,77,0.03,"No"
"R2023_103354",103354,2023-12-31,4,4,97,0.046,"No"
"R2023_104470",104470,2023-12-31,4,4,73,0.032,"No"
"R2023_102980",102980,2023-12-31,4,2,87,0.038,"No"
"R2023_106734",106734,2023-12-31,3,3,72,0.026,"No"
