"PromotionEventID","EmployeeID","PromotionDate","PriorJobLevel","NewJobLevel","PromotionType"
"P108898_1",108898,2019-01-18,3,4,"Promotion"
"P100594_1",100594,2022-05-19,3,4,"Promotion"
"P100594_2",100594,2025-10-12,3,4,"Promotion"
"P109355_1",109355,2021-09-21,3,4,"Promotion"
"P101467_1",101467,2016-10-12,3,4,"Promotion"
"P101627_1",101627,2016-07-13,3,4,"In-Level Progression"
"P104374_1",104374,2025-10-07,3,4,"Promotion"
"P100802_1",100802,2022-02-06,3,4,"Promotion"
"P107194_1",107194,2021-01-11,3,4,"Promotion"
"P100945_1",100945,2022-03-19,3,4,"In-Level Progression"
"P103348_1",103348,2023-11-25,3,4,"Promotion"
"P101278_1",101278,2020-06-05,3,4,"Promotion"
"P101278_2",101278,2021-04-06,3,4,"Promotion"
"P102520_1",102520,2020-11-17,3,4,"Promotion"
"P109701_1",109701,2023-09-10,3,4,"Promotion"
"P103448_1",103448,2019-04-03,3,4,"Promotion"
"P107384_1",107384,2024-01-17,3,4,"Promotion"
"P109998_1",109998,2022-06-22,3,4,"Promotion"
"P103484_1",103484,2019-05-11,3,4,"Promotion"
"P109425_1",109425,2022-06-30,3,4,"Promotion"
"P109042_1",109042,2018-10-13,3,4,"In-Level Progression"
"P108351_1",108351,2019-07-22,3,4,"In-Level Progression"
"P108351_2",108351,2019-12-02,3,4,"In-Level Progression"
"P100100_1",100100,2020-03-14,3,4,"Promotion"
"P100245_1",100245,2019-05-03,3,4,"In-Level Progression"
"P104626_1",104626,2020-10-11,3,4,"Promotion"
"P104626_2",104626,2024-09-07,3,4,"Promotion"
"P105496_1",105496,2020-07-25,3,4,"In-Level Progression"
"P107548_1",107548,2023-09-27,3,4,"Promotion"
"P102816_1",102816,2021-12-19,3,4,"Promotion"
"P104160_1",104160,2021-10-15,3,4,"In-Level Progression"
"P100988_1",100988,2020-01-17,3,4,"In-Level Progression"
"P107829_1",107829,2020-09-10,3,4,"Promotion"
"P102577_1",102577,2020-08-09,3,4,"Promotion"
"P102577_2",102577,2025-09-04,3,4,"In-Level Progression"
"P109340_1",109340,2021-05-20,3,4,"Promotion"
"P107895_1",107895,2022-03-29,3,4,"Promotion"
"P102224_1",102224,2021-04-01,3,4,"In-Level Progression"
"P108868_1",108868,2021-11-13,3,4,"Promotion"
"P104162_1",104162,2022-11-10,3,4,"Promotion"
"P108866_1",108866,2023-10-19,3,4,"Promotion"
"P105041_1",105041,2022-11-24,3,4,"Promotion"
"P103198_1",103198,2022-12-04,3,4,"In-Level Progression"
"P108049_1",108049,2025-08-05,3,4,"Promotion"
"P107692_1",107692,2023-08-19,3,4,"Promotion"
"P103836_1",103836,2022-09-09,3,4,"Promotion"
"P104438_1",104438,2023-03-19,3,4,"Promotion"
"P109003_1",109003,2022-09-07,3,4,"In-Level Progression"
"P104187_1",104187,2023-03-26,3,4,"Promotion"
"P100073_1",100073,2024-02-24,3,4,"Promotion"
"P104364_1",104364,2025-03-31,3,4,"Promotion"
"P104364_2",104364,2025-12-18,3,4,"Promotion"
"P103327_1",103327,2025-11-17,3,4,"Promotion"
"P108619_1",108619,2025-04-28,3,4,"Promotion"
"P106717_1",106717,2025-03-10,3,4,"Promotion"
"P101420_1",101420,2025-04-15,3,4,"Promotion"
"P100960_1",100960,2024-08-29,3,4,"Promotion"
"P100960_2",100960,2025-10-13,3,4,"In-Level Progression"
"P101812_1",101812,2025-03-27,3,4,"Promotion"
"P103995_1",103995,2025-04-29,3,4,"Promotion"
"P105737_1",105737,2024-09-26,3,4,"In-Level Progression"
"P106794_1",106794,2024-07-04,3,4,"In-Level Progression"
"P104210_1",104210,2025-05-02,3,4,"Promotion"
"P103245_1",103245,2025-02-23,3,4,"Promotion"
"P101805_1",101805,2024-12-22,3,4,"Promotion"
"P109153_1",109153,2024-12-08,3,4,"Promotion"
"P109153_2",109153,2025-09-29,3,4,"Promotion"
"P102985_1",102985,2025-10-26,3,4,"Promotion"
"P105256_1",105256,2025-11-17,3,4,"Promotion"
"P105256_2",105256,2025-11-19,3,4,"Promotion"
"P101321_1",101321,2015-03-02,3,4,"In-Level Progression"
"P100358_1",100358,2024-09-12,3,4,"In-Level Progression"
"P102832_1",102832,2017-09-01,3,4,"In-Level Progression"
"P102832_2",102832,2022-01-30,3,4,"In-Level Progression"
"P101121_1",101121,2020-08-24,3,4,"Promotion"
"P104011_1",104011,2025-05-06,3,4,"Promotion"
"P100259_1",100259,2023-01-17,3,4,"Promotion"
"P100259_2",100259,2023-02-15,3,4,"In-Level Progression"
"P102542_1",102542,2025-10-05,3,4,"Promotion"
"P106708_1",106708,2023-08-15,3,4,"In-Level Progression"
"P102311_1",102311,2021-03-27,3,4,"In-Level Progression"
"P102311_2",102311,2025-04-15,3,4,"In-Level Progression"
"P104718_1",104718,2021-03-04,3,4,"Promotion"
"P103715_1",103715,2025-12-01,3,4,"Promotion"
"P104911_1",104911,2022-10-25,3,4,"Promotion"
"P108579_1",108579,2024-12-11,3,4,"Promotion"
"P104039_1",104039,2024-07-22,3,4,"Promotion"
"P108719_1",108719,2025-05-08,3,4,"Promotion"
"P103627_1",103627,2023-10-11,3,4,"In-Level Progression"
"P103627_2",103627,2024-10-20,3,4,"In-Level Progression"
"P100021_1",100021,2025-08-16,3,4,"Promotion"
"P100889_1",100889,2024-07-10,3,4,"Promotion"
"P106852_1",106852,2025-06-04,3,4,"In-Level Progression"
"P106930_1",106930,2025-03-12,3,4,"Promotion"
"P103528_1",103528,2025-07-03,3,4,"Promotion"
"P102169_1",102169,2025-10-28,3,4,"Promotion"
"P103829_1",103829,2025-12-03,3,4,"In-Level Progression"
"P100382_1",100382,2016-08-13,3,4,"Promotion"
"P100720_1",100720,2018-04-20,3,4,"Promotion"
"P104086_1",104086,2019-09-02,3,4,"Promotion"
"P109693_1",109693,2018-12-02,3,4,"In-Level Progression"
"P101505_1",101505,2018-09-26,3,4,"In-Level Progression"
"P104019_1",104019,2022-03-03,3,4,"In-Level Progression"
"P108806_1",108806,2021-12-22,3,4,"Promotion"
"P103190_1",103190,2025-09-21,3,4,"Promotion"
"P104993_1",104993,2021-08-18,3,4,"Promotion"
"P108874_1",108874,2021-06-14,3,4,"Promotion"
"P103266_1",103266,2024-07-08,3,4,"In-Level Progression"
"P103432_1",103432,2024-07-06,3,4,"Promotion"
"P104320_1",104320,2023-11-19,3,4,"Promotion"
"P103823_1",103823,2022-09-11,3,4,"Promotion"
"P104637_1",104637,2025-11-24,3,4,"Promotion"
"P109807_1",109807,2025-12-28,3,4,"Promotion"
"P105151_1",105151,2025-12-23,3,4,"Promotion"
"P109707_1",109707,2025-06-20,3,4,"Promotion"
"P105507_1",105507,2025-07-29,3,4,"Promotion"
"P108704_1",108704,2025-04-25,3,4,"In-Level Progression"
"P108704_2",108704,2026-01-10,3,4,"In-Level Progression"
"P105954_1",105954,2025-12-29,3,4,"In-Level Progression"
"P105954_2",105954,2026-01-04,3,4,"Promotion"
"P102453_1",102453,2024-04-08,3,4,"Promotion"
"P101040_1",101040,2021-03-09,3,4,"Promotion"
"P106455_1",106455,2017-05-25,3,4,"Promotion"
"P105997_1",105997,2021-08-12,3,4,"In-Level Progression"
"P107592_1",107592,2025-12-12,3,4,"Promotion"
"P107927_1",107927,2024-03-02,3,4,"In-Level Progression"
"P101385_1",101385,2026-01-12,3,4,"Promotion"
"P108972_1",108972,2024-05-27,3,4,"Promotion"
"P100482_1",100482,2022-12-12,3,4,"Promotion"
"P100482_2",100482,2023-07-17,3,4,"In-Level Progression"
"P102041_1",102041,2024-07-20,3,4,"In-Level Progression"
"P104313_1",104313,2022-09-06,3,4,"Promotion"
"P104890_1",104890,2025-02-16,3,4,"Promotion"
"P107351_1",107351,2025-08-10,3,4,"In-Level Progression"
"P104030_1",104030,2023-06-05,3,4,"Promotion"
"P103263_1",103263,2025-12-31,3,4,"Promotion"
"P103125_1",103125,2026-01-29,3,4,"Promotion"
"P105481_1",105481,2024-01-01,3,4,"Promotion"
"P104243_1",104243,2025-01-27,3,4,"Promotion"
"P102350_1",102350,2025-10-31,3,4,"Promotion"
"P109349_1",109349,2024-03-30,3,4,"Promotion"
"P101461_1",101461,2018-05-03,3,4,"In-Level Progression"
"P109695_1",109695,2023-03-20,3,4,"Promotion"
"P105835_1",105835,2024-08-28,3,4,"Promotion"
"P101020_1",101020,2020-01-06,3,4,"Promotion"
"P102283_1",102283,2022-08-24,3,4,"Promotion"
"P106106_1",106106,2018-04-26,3,4,"In-Level Progression"
"P108979_1",108979,2026-01-22,3,4,"Promotion"
"P109908_1",109908,2022-01-30,3,4,"In-Level Progression"
"P102516_1",102516,2022-03-25,3,4,"Promotion"
"P109413_1",109413,2024-11-26,3,4,"Promotion"
"P108742_1",108742,2023-11-18,3,4,"Promotion"
"P106133_1",106133,2019-05-08,3,4,"In-Level Progression"
"P106133_2",106133,2022-11-05,3,4,"In-Level Progression"
"P107440_1",107440,2024-10-25,3,4,"Promotion"
"P109378_1",109378,2014-10-18,3,4,"Promotion"
"P109378_2",109378,2016-04-03,3,4,"In-Level Progression"
"P105483_1",105483,2020-10-20,3,4,"Promotion"
"P108668_1",108668,2020-02-22,3,4,"Promotion"
"P108142_1",108142,2020-04-13,3,4,"In-Level Progression"
"P102753_1",102753,2024-03-20,3,4,"Promotion"
"P105082_1",105082,2017-02-07,3,4,"Promotion"
"P108834_1",108834,2021-12-31,3,4,"In-Level Progression"
"P106960_1",106960,2022-12-19,3,4,"Promotion"
"P101754_1",101754,2018-04-09,3,4,"Promotion"
"P106604_1",106604,2019-04-23,3,4,"Promotion"
"P106292_1",106292,2025-05-10,3,4,"In-Level Progression"
"P102387_1",102387,2022-05-20,3,4,"Promotion"
"P101852_1",101852,2022-06-02,3,4,"In-Level Progression"
"P102895_1",102895,2020-03-24,3,4,"Promotion"
"P109541_1",109541,2021-04-26,3,4,"Promotion"
"P100846_1",100846,2021-08-27,3,4,"In-Level Progression"
"P102275_1",102275,2023-03-06,3,4,"Promotion"
"P104996_1",104996,2025-03-26,3,4,"Promotion"
"P108438_1",108438,2024-07-03,3,4,"Promotion"
"P104391_1",104391,2023-12-05,3,4,"Promotion"
"P100250_1",100250,2022-08-24,3,4,"Promotion"
"P105472_1",105472,2021-10-21,3,4,"Promotion"
"P100044_1",100044,2025-04-22,3,4,"Promotion"
"P103250_1",103250,2024-01-24,3,4,"In-Level Progression"
"P109728_1",109728,2023-05-09,3,4,"In-Level Progression"
"P102083_1",102083,2024-10-04,3,4,"Promotion"
"P109746_1",109746,2023-08-28,3,4,"Promotion"
"P109739_1",109739,2023-11-11,3,4,"Promotion"
"P104764_1",104764,2024-09-20,3,4,"In-Level Progression"
"P101215_1",101215,2024-02-23,3,4,"Promotion"
"P105291_1",105291,2024-11-10,3,4,"Promotion"
"P101055_1",101055,2025-05-09,3,4,"Promotion"
"P101531_1",101531,2025-10-26,3,4,"Promotion"
"P109680_1",109680,2025-07-16,3,4,"Promotion"
"P107242_1",107242,2025-04-16,3,4,"Promotion"
"P106850_1",106850,2024-11-02,3,4,"In-Level Progression"
"P106850_2",106850,2025-11-17,3,4,"In-Level Progression"
"P103260_1",103260,2024-11-23,3,4,"Promotion"
"P109447_1",109447,2025-07-22,3,4,"Promotion"
"P109447_2",109447,2025-09-04,3,4,"Promotion"
"P107350_1",107350,2025-07-12,3,4,"Promotion"
"P105447_1",105447,2025-12-16,3,4,"Promotion"
"P105409_1",105409,2025-06-15,3,4,"Promotion"
"P107730_1",107730,2026-01-24,3,4,"In-Level Progression"
"P100475_1",100475,2014-04-25,3,4,"Promotion"
"P100475_2",100475,2018-02-05,3,4,"Promotion"
"P101319_1",101319,2020-08-28,3,4,"Promotion"
"P105670_1",105670,2021-05-29,3,4,"Promotion"
"P108997_1",108997,2020-11-15,3,4,"Promotion"
"P107751_1",107751,2022-05-23,3,4,"Promotion"
"P100090_1",100090,2018-06-02,3,4,"In-Level Progression"
"P103224_1",103224,2017-01-21,3,4,"In-Level Progression"
"P109402_1",109402,2015-10-07,3,4,"In-Level Progression"
"P109774_1",109774,2018-09-27,3,4,"In-Level Progression"
"P108613_1",108613,2025-09-26,3,4,"In-Level Progression"
"P108936_1",108936,2018-10-31,3,4,"Promotion"
"P109375_1",109375,2021-11-29,3,4,"Promotion"
"P108262_1",108262,2017-07-12,3,4,"Promotion"
"P108262_2",108262,2024-07-06,3,4,"In-Level Progression"
"P102801_1",102801,2022-05-30,3,4,"Promotion"
"P100088_1",100088,2020-09-15,3,4,"Promotion"
"P109321_1",109321,2017-03-25,3,4,"Promotion"
"P107581_1",107581,2023-07-31,3,4,"Promotion"
"P109694_1",109694,2021-05-14,3,4,"Promotion"
"P103637_1",103637,2019-06-20,3,4,"Promotion"
"P106768_1",106768,2025-10-18,3,4,"Promotion"
"P101363_1",101363,2021-10-08,3,4,"Promotion"
"P103867_1",103867,2019-09-06,3,4,"Promotion"
"P102630_1",102630,2025-03-31,3,4,"Promotion"
"P103301_1",103301,2020-02-08,3,4,"Promotion"
"P104708_1",104708,2024-08-07,3,4,"Promotion"
"P102047_1",102047,2020-04-30,3,4,"In-Level Progression"
"P104777_1",104777,2024-12-15,3,4,"In-Level Progression"
"P106965_1",106965,2020-04-15,3,4,"Promotion"
"P102954_1",102954,2020-05-11,3,4,"In-Level Progression"
"P102583_1",102583,2022-08-25,3,4,"In-Level Progression"
"P103748_1",103748,2020-06-11,3,4,"Promotion"
"P109995_1",109995,2022-12-31,3,4,"Promotion"
"P105816_1",105816,2020-12-26,3,4,"Promotion"
"P101797_1",101797,2025-01-02,3,4,"Promotion"
"P109589_1",109589,2020-07-16,3,4,"In-Level Progression"
"P105643_1",105643,2020-10-18,3,4,"In-Level Progression"
"P109052_1",109052,2025-05-01,3,4,"Promotion"
"P108488_1",108488,2023-06-24,3,4,"In-Level Progression"
"P106609_1",106609,2021-11-29,3,4,"In-Level Progression"
"P100642_1",100642,2022-06-26,3,4,"Promotion"
"P105125_1",105125,2022-09-04,3,4,"In-Level Progression"
"P105125_2",105125,2026-01-21,3,4,"Promotion"
"P105843_1",105843,2023-06-01,3,4,"In-Level Progression"
"P104739_1",104739,2022-08-22,3,4,"Promotion"
"P109209_1",109209,2024-09-07,3,4,"Promotion"
"P109032_1",109032,2023-10-30,3,4,"In-Level Progression"
"P100983_1",100983,2023-01-03,3,4,"In-Level Progression"
"P105060_1",105060,2024-04-27,3,4,"Promotion"
"P100497_1",100497,2022-05-22,3,4,"Promotion"
"P109922_1",109922,2024-08-29,3,4,"Promotion"
"P107714_1",107714,2023-01-01,3,4,"Promotion"
"P107714_2",107714,2025-02-21,3,4,"Promotion"
"P108826_1",108826,2024-10-05,3,4,"In-Level Progression"
"P100531_1",100531,2024-09-24,3,4,"Promotion"
"P107478_1",107478,2024-03-09,3,4,"In-Level Progression"
"P106757_1",106757,2024-12-05,3,4,"In-Level Progression"
"P108555_1",108555,2025-02-26,3,4,"Promotion"
"P104633_1",104633,2025-05-22,3,4,"Promotion"
"P104488_1",104488,2025-10-29,3,4,"In-Level Progression"
"P100149_1",100149,2024-10-09,3,4,"Promotion"
"P104609_1",104609,2024-10-07,3,4,"In-Level Progression"
"P104609_2",104609,2025-09-19,3,4,"In-Level Progression"
"P109161_1",109161,2025-01-24,3,4,"Promotion"
"P104328_1",104328,2025-11-08,3,4,"Promotion"
"P106996_1",106996,2025-10-16,3,4,"Promotion"
"P106996_2",106996,2025-11-07,3,4,"In-Level Progression"
"P102955_1",102955,2017-03-10,3,4,"Promotion"
"P109745_1",109745,2024-06-12,3,4,"In-Level Progression"
"P100001_1",100001,2024-10-19,2,3,"In-Level Progression"
"P108687_1",108687,2015-01-31,2,3,"Promotion"
"P108687_2",108687,2022-11-20,2,3,"Promotion"
"P109968_1",109968,2023-06-11,2,3,"In-Level Progression"
"P104754_1",104754,2017-09-14,2,3,"Promotion"
"P104754_2",104754,2021-01-18,2,3,"In-Level Progression"
"P107174_1",107174,2016-02-11,2,3,"Promotion"
"P106956_1",106956,2022-04-12,2,3,"Promotion"
"P107914_1",107914,2015-12-14,2,3,"In-Level Progression"
"P106188_1",106188,2018-09-30,2,3,"Promotion"
"P100465_1",100465,2021-04-16,2,3,"Promotion"
"P100974_1",100974,2015-06-06,2,3,"Promotion"
"P103782_1",103782,2014-11-22,2,3,"Promotion"
"P104331_1",104331,2015-07-20,2,3,"Promotion"
"P103961_1",103961,2018-08-25,2,3,"In-Level Progression"
"P108941_1",108941,2020-06-26,2,3,"Promotion"
"P107904_1",107904,2016-06-13,2,3,"Promotion"
"P104730_1",104730,2021-09-05,2,3,"In-Level Progression"
"P104730_2",104730,2024-09-27,2,3,"Promotion"
"P105620_1",105620,2016-08-19,2,3,"Promotion"
"P105119_1",105119,2020-11-12,2,3,"Promotion"
"P105491_1",105491,2017-03-13,2,3,"In-Level Progression"
"P103838_1",103838,2022-06-30,2,3,"In-Level Progression"
"P103838_2",103838,2024-03-12,2,3,"Promotion"
"P109110_1",109110,2023-05-10,2,3,"In-Level Progression"
"P103628_1",103628,2018-07-31,2,3,"Promotion"
"P101714_1",101714,2025-04-14,2,3,"Promotion"
"P103735_1",103735,2019-01-17,2,3,"In-Level Progression"
"P103735_2",103735,2020-10-10,2,3,"Promotion"
"P105632_1",105632,2021-01-20,2,3,"Promotion"
"P105632_2",105632,2025-01-04,2,3,"In-Level Progression"
"P106647_1",106647,2017-04-22,2,3,"Promotion"
"P105054_1",105054,2020-11-07,2,3,"Promotion"
"P102099_1",102099,2021-08-24,2,3,"Promotion"
"P101386_1",101386,2024-03-15,2,3,"Promotion"
"P101439_1",101439,2019-10-22,2,3,"Promotion"
"P105259_1",105259,2022-12-12,2,3,"Promotion"
"P105947_1",105947,2022-06-12,2,3,"In-Level Progression"
"P103254_1",103254,2024-07-18,2,3,"Promotion"
"P109240_1",109240,2017-11-18,2,3,"In-Level Progression"
"P109927_1",109927,2023-07-29,2,3,"Promotion"
"P108295_1",108295,2022-04-05,2,3,"Promotion"
"P106876_1",106876,2023-01-14,2,3,"Promotion"
"P107348_1",107348,2024-03-14,2,3,"Promotion"
"P105420_1",105420,2022-06-23,2,3,"Promotion"
"P101069_1",101069,2024-07-15,2,3,"Promotion"
"P101800_1",101800,2021-07-13,2,3,"Promotion"
"P105407_1",105407,2020-03-01,2,3,"In-Level Progression"
"P103781_1",103781,2025-04-06,2,3,"Promotion"
"P102756_1",102756,2021-09-06,2,3,"Promotion"
"P108312_1",108312,2025-07-07,2,3,"Promotion"
"P102876_1",102876,2021-04-18,2,3,"Promotion"
"P104157_1",104157,2022-04-12,2,3,"Promotion"
"P106939_1",106939,2020-12-31,2,3,"In-Level Progression"
"P107986_1",107986,2024-01-10,2,3,"In-Level Progression"
"P107975_1",107975,2022-02-22,2,3,"In-Level Progression"
"P102161_1",102161,2021-10-13,2,3,"Promotion"
"P103565_1",103565,2023-07-19,2,3,"In-Level Progression"
"P108136_1",108136,2024-09-27,2,3,"Promotion"
"P104033_1",104033,2025-03-25,2,3,"Promotion"
"P100083_1",100083,2025-07-26,2,3,"Promotion"
"P109199_1",109199,2023-03-09,2,3,"Promotion"
"P103517_1",103517,2022-04-11,2,3,"Promotion"
"P108436_1",108436,2023-03-18,2,3,"Promotion"
"P106599_1",106599,2023-06-10,2,3,"In-Level Progression"
"P109826_1",109826,2025-02-09,2,3,"Promotion"
"P107046_1",107046,2025-09-19,2,3,"Promotion"
"P109437_1",109437,2024-08-11,2,3,"In-Level Progression"
"P109437_2",109437,2025-10-18,2,3,"In-Level Progression"
"P103158_1",103158,2024-10-18,2,3,"In-Level Progression"
"P105810_1",105810,2023-11-02,2,3,"Promotion"
"P101327_1",101327,2022-02-20,2,3,"Promotion"
"P102617_1",102617,2025-09-12,2,3,"In-Level Progression"
"P109597_1",109597,2023-11-06,2,3,"Promotion"
"P105571_1",105571,2025-10-30,2,3,"Promotion"
"P107024_1",107024,2023-04-12,2,3,"Promotion"
"P107024_2",107024,2023-11-23,2,3,"Promotion"
"P105831_1",105831,2023-04-03,2,3,"Promotion"
"P105831_2",105831,2024-11-18,2,3,"In-Level Progression"
"P106517_1",106517,2024-01-14,2,3,"In-Level Progression"
"P100678_1",100678,2025-04-19,2,3,"Promotion"
"P105052_1",105052,2025-06-03,2,3,"Promotion"
"P102949_1",102949,2023-11-10,2,3,"Promotion"
"P102949_2",102949,2026-01-08,2,3,"Promotion"
"P105217_1",105217,2025-04-02,2,3,"Promotion"
"P104074_1",104074,2023-12-31,2,3,"Promotion"
"P104074_2",104074,2024-09-24,2,3,"Promotion"
"P101180_1",101180,2025-11-02,2,3,"In-Level Progression"
"P103092_1",103092,2024-12-10,2,3,"Promotion"
"P104653_1",104653,2025-11-05,2,3,"In-Level Progression"
"P108241_1",108241,2025-12-14,2,3,"Promotion"
"P102278_1",102278,2024-03-04,2,3,"Promotion"
"P101846_1",101846,2025-01-04,2,3,"Promotion"
"P101846_2",101846,2025-10-16,2,3,"In-Level Progression"
"P105202_1",105202,2025-03-09,2,3,"Promotion"
"P103808_1",103808,2025-04-30,2,3,"Promotion"
"P104321_1",104321,2024-11-21,2,3,"Promotion"
"P109465_1",109465,2025-12-12,2,3,"In-Level Progression"
"P105487_1",105487,2025-02-18,2,3,"Promotion"
"P100117_1",100117,2025-05-03,2,3,"In-Level Progression"
"P100117_2",100117,2025-09-21,2,3,"In-Level Progression"
"P104444_1",104444,2025-08-03,2,3,"Promotion"
"P103219_1",103219,2025-10-10,2,3,"In-Level Progression"
"P105566_1",105566,2025-12-05,2,3,"Promotion"
"P105566_2",105566,2026-01-26,2,3,"Promotion"
"P108179_1",108179,2025-10-10,2,3,"In-Level Progression"
"P107270_1",107270,2016-07-13,2,3,"Promotion"
"P107270_2",107270,2019-01-11,2,3,"Promotion"
"P101609_1",101609,2017-02-03,2,3,"In-Level Progression"
"P105029_1",105029,2018-03-13,2,3,"In-Level Progression"
"P107146_1",107146,2016-07-14,2,3,"In-Level Progression"
"P109467_1",109467,2016-08-25,2,3,"Promotion"
"P100376_1",100376,2016-04-18,2,3,"Promotion"
"P103306_1",103306,2014-10-02,2,3,"Promotion"
"P103275_1",103275,2022-08-11,2,3,"Promotion"
"P105065_1",105065,2016-04-13,2,3,"Promotion"
"P104622_1",104622,2019-10-02,2,3,"In-Level Progression"
"P109454_1",109454,2024-07-05,2,3,"Promotion"
"P102952_1",102952,2025-01-15,2,3,"Promotion"
"P103168_1",103168,2020-09-24,2,3,"In-Level Progression"
"P101230_1",101230,2020-09-05,2,3,"Promotion"
"P108634_1",108634,2020-09-12,2,3,"Promotion"
"P104870_1",104870,2018-12-16,2,3,"Promotion"
"P104870_2",104870,2024-11-17,2,3,"In-Level Progression"
"P105748_1",105748,2020-02-25,2,3,"Promotion"
"P102563_1",102563,2021-09-24,2,3,"Promotion"
"P107388_1",107388,2019-02-21,2,3,"Promotion"
"P107388_2",107388,2023-02-17,2,3,"Promotion"
"P108170_1",108170,2019-08-31,2,3,"Promotion"
"P100547_1",100547,2020-05-20,2,3,"Promotion"
"P103041_1",103041,2021-02-27,2,3,"In-Level Progression"
"P105154_1",105154,2024-04-11,2,3,"Promotion"
"P103577_1",103577,2020-12-30,2,3,"Promotion"
"P102635_1",102635,2019-03-02,2,3,"In-Level Progression"
"P108521_1",108521,2023-10-12,2,3,"In-Level Progression"
"P108521_2",108521,2024-02-02,2,3,"Promotion"
"P102446_1",102446,2024-03-15,2,3,"In-Level Progression"
"P102446_2",102446,2024-11-22,2,3,"Promotion"
"P104279_1",104279,2024-05-25,2,3,"Promotion"
"P106716_1",106716,2024-08-10,2,3,"Promotion"
"P106716_2",106716,2025-01-01,2,3,"Promotion"
"P104790_1",104790,2023-09-01,2,3,"Promotion"
"P104790_2",104790,2025-08-02,2,3,"Promotion"
"P104554_1",104554,2024-09-30,2,3,"Promotion"
"P101945_1",101945,2022-09-30,2,3,"In-Level Progression"
"P100880_1",100880,2025-01-06,2,3,"Promotion"
"P107669_1",107669,2024-11-29,2,3,"Promotion"
"P106915_1",106915,2024-02-29,2,3,"Promotion"
"P107689_1",107689,2024-04-06,2,3,"In-Level Progression"
"P103801_1",103801,2025-12-08,2,3,"Promotion"
"P108229_1",108229,2026-01-16,2,3,"Promotion"
"P106098_1",106098,2026-01-07,2,3,"In-Level Progression"
"P101276_1",101276,2025-06-25,2,3,"Promotion"
"P106726_1",106726,2026-01-29,2,3,"Promotion"
"P108492_1",108492,2020-09-26,2,3,"In-Level Progression"
"P104503_1",104503,2019-07-19,2,3,"Promotion"
"P109270_1",109270,2020-12-24,2,3,"Promotion"
"P104231_1",104231,2019-07-31,2,3,"Promotion"
"P104231_2",104231,2024-01-03,2,3,"Promotion"
"P105384_1",105384,2024-09-15,2,3,"Promotion"
"P106166_1",106166,2024-03-19,2,3,"Promotion"
"P108963_1",108963,2024-10-31,2,3,"Promotion"
"P107627_1",107627,2016-09-29,2,3,"Promotion"
"P107627_2",107627,2020-07-12,2,3,"Promotion"
"P101932_1",101932,2022-04-27,2,3,"In-Level Progression"
"P100489_1",100489,2019-11-29,2,3,"In-Level Progression"
"P101686_1",101686,2023-12-10,2,3,"Promotion"
"P109028_1",109028,2020-11-28,2,3,"In-Level Progression"
"P107608_1",107608,2024-06-21,2,3,"In-Level Progression"
"P104085_1",104085,2018-11-15,2,3,"In-Level Progression"
"P103599_1",103599,2020-10-12,2,3,"In-Level Progression"
